fiscal_year,total_revenue,federal_revenue,federal_dependency_pct
2016,35507926507.4000,15494186829.0800,43.635853605394125
2017,33973396446.8200,14257713915.1000,41.96729031028206
2018,36051434188.4400,14882676757.1300,41.28178834533627
2019,38026026892.1900,15643720959.5200,41.13950953611984
2020,42901759741.3100,19514350879.2300,45.486131564061886
2021,50126603516.2900,23297023163.5800,46.47636490273872
2023,58968244613.1700,28298357001.3300,47.98914600047265
2024,57782564448.7100,25909397520.4300,44.83947323492048
2025,59477927179.4400,27051766722.3800,45.482026703397125
