fiscal_year,revenue,expenditure,net_cashflow,net_margin_pct,federal_dependency_pct,sentinel_lines
2019,38026026892.1900,36814429321.9700,1211597570.2200,3.2,41.1,39
2016,35507926507.4000,35653872737.2800,-145946229.8800,-0.4,43.6,17
2018,36051434188.4400,35498848850.1300,552585338.3100,1.5,41.3,49
2017,33973396446.8200,34243587144.9300,-270190698.1100,-0.8,42.0,38
2020,42901759741.3100,41378987372.6200,1522772368.6900,3.5,45.5,41
2021,50126603516.2900,46763307603.3400,3363295912.9500,6.7,46.5,41
2024,57782564448.7100,59644984267.5300,-1862419818.8200,-3.2,44.8,100
2023,58968244613.1700,58237038810.7600,731205802.4100,1.2,48.0,74
2025,59477927179.4400,59122813762.8800,355113416.5600,0.6,45.5,92
