fiscal_year,agency,total_revenue,federal_revenue,federal_dependency_pct
2016,DEPT OF REVENUE,8395339554.0100,,
2016,MEDICAL BOARD,7450175.3100,,
2016,AUTOMOBILE THEFT AUTHORITY,6185637.8800,,
2017,DEPT OF HEALTH SERVICES,379674446.1700,253052634.5900,66.64989891805759
2017,BOARD OF ACCOUNTANCY,2025208.9700,,
2017,RETIREE ACCUMULATED SICK LEAVE,14381964.8000,,
2017,BOARD OF FINGERPRINTING,1031709.0000,,
2017,BOARD OF HOMEOPATHIC EXAMINERS,84710.0000,,
2017,PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,11057797.7200,,
2017,PIONEERS' HOME,10272531.3500,,
2017,PARENTS COMMISSION DRUG EDU,4605028.1900,,
2018,DEPT OF ADMINISTRATION,1216147834.4500,1498471.9300,0.12321461976517685
2018,BOARD OF OSTEOPATHIC EXAMINERS,1194984.8300,,
2019,GOVERNOR'S OFFICE OF HIGHWAY SAFETY,10589513.3700,8816749.1500,83.25924753990844
2019,BOARD OF TECHNICAL REGISTRATION,3192941.0200,,
2019,BOARD OF REGENTS,193147369.2300,,
2020,CRIMINAL JUSTICE COMMISSION,29218826.3700,17121092.0000,58.5960975406556
2020,AUDITOR GENERAL,992924.0500,,
2020,COMMISSION FOR DEAF AND HARD OF HEARING,3532769.9900,,
2020,AFRICAN-AMERICAN AFFAIRS,3050.0000,,
2021,DEPT OF FORESTRY AND FIRE MANAGEMENT,62970477.9900,33887544.9100,53.814971700518925
2021,DEPT OF CORRECTIONS,133021093.5800,102545.7400,0.07708983383024748
2021,LAND DEPARTMENT,10847684.8200,,
2021,BOARD OF PHYSICAL THERAPY,1192730.3300,,
2021,COMMISSION FOR POSTSECONDARY EDUCATION,2216820.8500,,
2021,COURT OF APPEALS DIV II,22125.7800,,
2021,VETERINARY MEDICAL EXAMINING BOARD,208743.3300,,
2023,DEPT OF INSURANCE AND FINANCIAL INSTITUTIONS,815588645.5000,120034.2900,0.014717503813017466
2023,REAL ESTATE DEPARTMENT,3875397.5600,,
2023,GOVERNOR'S OFFICE,76132557.2900,43593484.8300,57.25997704759353
2023,COURT OF APPEALS,165404.0400,,
2023,BOARD OF FUNERAL DIRECTORS AND EMBALMERS,581128.7700,,
2024,ACUPUNCTURE BOARD OF EXAMINERS,213844.4800,,
2024,BOARD OF DENTAL EXAMINERS,2124295.0800,,
2024,STATEWIDE SYSTEMS PROCESSING,1076979994.7400,,
2024,DEPT OF JUVENILE CORRECTIONS,13141215.7500,,
2024,SCHOOLS FOR THE DEAF AND THE BLIND,40653643.8000,1552320.4900,3.8184043173025493
2024,BOARD FOR CHARTER SCHOOLS,58641.6000,,
2024,GOVERNOR'S OFFICE ON TRIBAL RELATIONS,47550.0000,,
2025,DEPT OF REVENUE,14533269215.6400,,
2025,MEDICAL BOARD,10972404.7100,,
2025,OFFICE OF ECONOMIC OPPORTUNITY,17060337.3100,10367084.6700,60.76717289712252
2017,COMMISSION ON THE ARTS,4061573.8200,833000.0000,20.509291149606632
2019,OFFICE OF TOURISM,26946302.2100,,
2020,COMPANION ANIMAL SPAY/NEUTER COMMITTEE,369489.2700,,
2018,NAVIGABLE STREAM ADJUDICATION COMMISSION,200000.0000,,
2024,BOARD OF EXECUTIVE CLEMENCY,28009.9700,,
2016,BOARD OF EQUALIZATION,12243.2500,,
2025,BOARD OF EQUALIZATION,8153.6900,,
2016,INDUSTRIAL COMMISSION,27836782.3600,2744424.9700,9.858987775625947
2016,BOARD OF PSYCHOLOGIST EXAMINERS,146436.6600,,
2016,BOARD OF ATHLETIC TRAINING,151859.0000,,
2016,CONSTABLE ETHICS STANDARDS AND TRAINING BOARD,286098.7900,,
2017,DEPT OF WATER RESOURCES,21926868.0100,424610.9100,1.9364868243214275
2017,BOARD OF NURSING,6124178.1100,,
2017,BOARD OF BARBERS,448214.0000,,
2017,CITIZENS CLEAN ELECTION COMMISSION,7531989.5300,,
2017,ARIZONA HISTORICAL SOCIETY,1178603.9600,,
2017,"DEPT OF FIRE, BUILDING AND LIFE SAFETY",-9533888.5700,,
2018,CRIMINAL JUSTICE COMMISSION,17276758.1900,3391804.4100,19.63218083334186
2018,AUDITOR GENERAL,1945270.6800,,
2018,COMMISSION FOR DEAF AND HARD OF HEARING,4945173.9900,,
2019,DEPT OF FINANCIAL INSTITUTIONS,15470312.0700,,
2019,DEPT OF VETERANS SERVICES,45626203.6000,822254.0800,1.8021531819929897
2019,BOARD OF RESPIRATORY CARE EXAMINERS,371778.1500,,
2019,BOARD OF MASSAGE THERAPY,655394.3400,,
2019,COTTON RESEARCH AND PROTECTION COUNCIL,5434278.3500,822876.0000,15.142323359273638
2019,ARIZONA STATE RETIREMENT SYSTEM (ASRS),90299478.1800,,
2020,DEPT OF ADMINISTRATION,1188429142.2000,889475.4500,0.07484463468755218
2020,BOARD OF OSTEOPATHIC EXAMINERS,1370489.6300,,
2021,STATEWIDE SYSTEMS PROCESSING,332052385.3800,0.0000,0.0
2021,SCHOOLS FOR THE DEAF AND THE BLIND,34736031.8800,1244227.5500,3.5819507372009007
2021,DEPT OF JUVENILE CORRECTIONS,14427913.9600,,
2021,BOARD OF DENTAL EXAMINERS,616438.7500,,
2021,ACUPUNCTURE BOARD OF EXAMINERS,119602.7200,,
2023,CORPORATION COMMISSION,96555709.8000,1580251.2800,1.6366212658715291
2023,ATTORNEY GENERAL (DEPT OF LAW),301606462.3800,5991167.8200,1.986418915802808
2023,DEPT OF CHILD SAFETY,805705694.6700,572858854.5200,71.1002613373151
2023,DEPT OF EDUCATION,4082957116.0900,2406242695.3800,58.93382239792693
2023,DEPT OF ENVIRONMENTAL QUALITY,151386606.0900,20322174.6300,13.424024195323051
2023,BOARD OF OPTOMETRY,346497.3700,,
2023,MINE INSPECTOR,497109.6000,388627.8100,78.17749043671658
2023,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,163238165.4600,2938084.0000,1.7998756551328372
2023,DEPT OF HOMELAND SECURITY,36779157.7800,24848857.7800,67.56233497416427
2023,BOARD OF DISPENSING OPTICIANS,179030.3400,,
2023,EXPOSITION AND STATE FAIR BOARD,23033755.2700,,
2023,PERSONNEL BOARD,657528.4900,,
2024,DEPT OF CORRECTIONS,199795483.1500,11243187.3900,5.627348132569632
2024,LAND DEPARTMENT,6830017.9600,,
2024,DEPT OF FORESTRY AND FIRE MANAGEMENT,74218285.9600,34575965.1100,46.586854792947854
2024,BOARD OF PHYSICAL THERAPY,180638.6900,,
2024,VETERINARY MEDICAL EXAMINING BOARD,263224.7000,,
2025,INDUSTRIAL COMMISSION,85355014.3800,3067180.3500,3.5934389704920346
2025,BOARD OF PSYCHOLOGIST EXAMINERS,1007364.6100,,
2025,BARBERING AND COSMETOLOGY BOARD,2730985.1800,,
2025,CONSTABLE ETHICS STANDARDS AND TRAINING BOARD,434993.8500,,
2025,BOARD OF OCCUPATIONAL THERAPY EXAMINERS,364610.0800,,
2025,RESIDENTIAL UTILITY CONSUMER OFFICE,1353585.4300,,
2025,BOARD OF ATHLETIC TRAINING,186671.7900,,
2018,AFRICAN-AMERICAN AFFAIRS,10625.0000,,
2024,COURT OF APPEALS DIV II,42394.7600,,
2019,OFFICE OF EQUAL OPPORTUNITY,190700.0000,,
2021,BOARD OF EXECUTIVE CLEMENCY,30100.0000,,
2021,GOVERNOR'S OFFICE ON TRIBAL RELATIONS,15700.0000,,
2018,WATER INFRASTRUCTURE FINANCE AUTHORITY,3805.6800,,
2021,BOARD FOR CHARTER SCHOOLS,257500.0000,,
2016,RESIDENTIAL UTILITY CONSUMER OFFICE,1158356.2800,,
2020,NAVIGABLE STREAM ADJUDICATION COMMISSION,400000.0000,,
2016,AHCCCS,10530571047.7800,8592904065.1200,81.59960201713382
2016,GAME AND FISH DEPARTMENT,116669955.2600,38839758.2000,33.29028292969279
2016,OFFICE OF ADMINISTRATIVE HEARINGS,699403.7400,,
2016,LOTTERY COMMISSION,471921544.6500,,
2016,SCHOOL FACILITIES BOARD,318927201.1700,,
2016,NORTHERN ARIZONA UNIVERSITY,146397650.0000,,
2016,NATUROPATHIC PHYSICIANS MEDICAL BOARD,386370.4700,,
2017,STATEWIDE SYSTEMS PROCESSING,492825679.2300,,
2017,BOARD OF DENTAL EXAMINERS,1977960.7300,,
2017,ACUPUNCTURE BOARD OF EXAMINERS,180665.0000,,
2017,BOARD FOR CHARTER SCHOOLS,16977.5000,,
2017,DEPT OF JUVENILE CORRECTIONS,16892305.9400,3544.1000,0.02098055773195403
2017,SCHOOLS FOR THE DEAF AND THE BLIND,31660191.4600,824680.1100,2.6047856060564705
2017,GOVERNOR'S OFFICE ON TRIBAL RELATIONS,32273.5000,,
2017,BOARD OF EXECUTIVE CLEMENCY,44889.9600,,
2018,BOARD OF MASSAGE THERAPY,609612.3200,,
2018,DEPT OF FINANCIAL INSTITUTIONS,13791669.6000,,
2018,BOARD OF RESPIRATORY CARE EXAMINERS,380825.3300,,
2018,COTTON RESEARCH AND PROTECTION COUNCIL,4364813.3500,453154.0000,10.381978876599616
2018,DEPT OF VETERANS SERVICES,43821064.3200,529613.2700,1.2085814852248664
2018,ARIZONA STATE RETIREMENT SYSTEM (ASRS),92014877.5900,,
2019,CRIMINAL JUSTICE COMMISSION,22227968.7400,11579930.5300,52.09621565267687
2019,COMMISSION FOR DEAF AND HARD OF HEARING,2125664.8500,,
2019,COMPANION ANIMAL SPAY/NEUTER COMMITTEE,510966.4300,,
2019,AFRICAN-AMERICAN AFFAIRS,13222.9000,,
2020,GOVERNOR'S OFFICE OF HIGHWAY SAFETY,12219189.9600,10551154.4500,86.34905001509608
2020,BOARD OF REGENTS,200454784.7800,,
2020,BOARD OF TECHNICAL REGISTRATION,3026440.2200,,
2021,BOARD OF BARBERS,436479.1000,,
2021,ARIZONA HISTORICAL SOCIETY,5308566.5800,16420.0000,0.30931136969935114
2021,DEPT OF WATER RESOURCES,192944523.8200,408824.6600,0.21188715383360499
2021,BOARD OF NURSING,7779284.2500,,
2021,CITIZENS CLEAN ELECTION COMMISSION,6501710.4500,,
2023,STATE TREASURER,1630976897.4300,0.0000,0.0
2023,UNIVERSITY OF ARIZONA,14535627.1600,,
2024,DEPT OF HEALTH SERVICES,644091098.9500,433121640.4100,67.24540070745842
2024,BOARD OF HOMEOPATHIC EXAMINERS,42720.5300,,
2024,BOARD OF ACCOUNTANCY,1802020.0400,,
2024,COMMISSION ON THE ARTS,7768701.2500,1136787.0000,14.632909200878332
2024,PIONEERS' HOME,14328284.1500,,
2024,PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,18733566.6000,,
2024,RETIREE ACCUMULATED SICK LEAVE,21187535.9400,,
2024,BOARD OF FINGERPRINTING,827688.0000,,
2025,LOTTERY COMMISSION,681570514.8700,,
2025,AHCCCS,20391517042.1400,16560254877.7700,81.21149026601346
2025,NATUROPATHIC PHYSICIANS MEDICAL BOARD,444645.0500,,
2025,GAME AND FISH DEPARTMENT,163383064.2400,49719641.6900,30.43133137530387
2025,OFFICE OF ADMINISTRATIVE HEARINGS,1051445.5800,,
2025,LEGISLATIVE COUNCIL,66441.4400,,
2025,NORTHERN ARIZONA UNIVERSITY,5087843.8100,,
2016,LEGISLATIVE COUNCIL,1034.8500,,
2019,AUDITOR GENERAL,1474479.5600,,
2020,OFFICE OF TOURISM,29117540.0700,,
2024,PARENTS COMMISSION DRUG EDU,5393466.5200,,
2016,STATE TREASURER,-450862.2500,0.0000,-0.0
2016,UNIVERSITY OF ARIZONA,402504632.2700,,
2017,OFFICE OF TOURISM,23565163.7900,,
2017,WEIGHTS AND MEASURES,9217.4900,,
2017,GOVERNOR'S OFFICE OF HIGHWAY SAFETY,9844860.6000,8117294.6000,82.45210297848199
2017,GEOLOGICAL SURVEY,252975.9500,246377.4300,97.39164137934851
2017,BOARD OF REGENTS,145575582.8800,,
2017,BOARD OF TECHNICAL REGISTRATION,2932147.2200,,
2018,VETERINARY MEDICAL EXAMINING BOARD,195203.1500,,
2018,DEPT OF FORESTRY AND FIRE MANAGEMENT,52051017.4100,30110411.2700,57.84788226678392
2018,DEPT OF CORRECTIONS,95372699.4800,273572.9800,0.2868462164661379
2018,COMMISSION FOR POSTSECONDARY EDUCATION,3441569.8700,,
2018,LAND DEPARTMENT,43688850.5600,,
2018,BOARD OF PHYSICAL THERAPY,202345.0000,,
2018,COURT OF APPEALS DIV II,84316.5000,,
2019,DEPT OF HEALTH SERVICES,379289134.2400,235458317.5500,62.07884600274649
2019,BOARD OF ACCOUNTANCY,2033781.6900,,
2019,BOARD OF FINGERPRINTING,1194697.0000,,
2019,PIONEERS' HOME,9285870.4100,,
2019,PARENTS COMMISSION DRUG EDU,4922857.6500,,
2019,BOARD OF HOMEOPATHIC EXAMINERS,69059.8600,,
2019,RETIREE ACCUMULATED SICK LEAVE,15446960.5800,,
2019,COMMISSION ON THE ARTS,4495031.2300,830800.0000,18.482630208555857
2020,ACUPUNCTURE BOARD OF EXAMINERS,172813.6900,,
2020,STATEWIDE SYSTEMS PROCESSING,426966659.2500,50952.3300,0.011933561765572448
2020,SCHOOLS FOR THE DEAF AND THE BLIND,37273177.2600,929319.8800,2.49326713823591
2020,BOARD OF DENTAL EXAMINERS,526750.4500,,
2020,DEPT OF JUVENILE CORRECTIONS,17592496.9400,,
2020,GOVERNOR'S OFFICE ON TRIBAL RELATIONS,30500.0000,,
2021,DEPT OF ADMINISTRATION,1175021471.2800,1624802.2500,0.1382785157304432
2021,BOARD OF OSTEOPATHIC EXAMINERS,1054318.7000,,
2023,GAME AND FISH DEPARTMENT,152894365.9300,42334949.5800,27.689018704183194
2023,NATUROPATHIC PHYSICIANS MEDICAL BOARD,440959.6300,,
2023,AHCCCS,21510814074.9600,18876907030.1000,87.75542833627092
2023,LOTTERY COMMISSION,745645986.0600,,
2023,LEGISLATIVE COUNCIL,484942.8000,,
2023,OFFICE OF ADMINISTRATIVE HEARINGS,820796.4100,,
2023,NORTHERN ARIZONA UNIVERSITY,7469062.6200,,
2023,SCHOOL FACILITIES BOARD,-259644203.7900,,
2024,COMMISSION FOR DEAF AND HARD OF HEARING,2484923.6900,,
2024,CRIMINAL JUSTICE COMMISSION,37563890.8600,9347077.7600,24.883145877609977
2025,STATE TREASURER,1068762420.1600,0.0000,0.0
2025,UNIVERSITY OF ARIZONA,14572409.3300,,
2019,PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,12778202.2900,,
2020,BOARD OF EXECUTIVE CLEMENCY,17531.7600,,
2021,NAVIGABLE STREAM ADJUDICATION COMMISSION,-122080.7200,,
2024,AUDITOR GENERAL,1856926.9800,,
2024,COMPANION ANIMAL SPAY/NEUTER COMMITTEE,908272.2000,,
2020,BOARD FOR CHARTER SCHOOLS,45349.3500,,
2024,BOARD OF MEDICAL STUDENT LOANS,8092182.1100,,
2017,HOUSE OF REPRESENTATIVES,13500.0000,,
2018,OFFICE OF PEST MANAGEMENT,-365688.3900,,
2024,AFRICAN-AMERICAN AFFAIRS,5000.0000,,
2016,"DEPT OF FIRE, BUILDING AND LIFE SAFETY",2407640.4600,154190.0000,6.404195417118053
2016,DEPT OF WATER RESOURCES,11310839.7900,904178.9800,7.993915542852898
2016,ARIZONA HISTORICAL SOCIETY,1325211.7500,,
2016,BOARD OF BARBERS,457322.0000,,
2016,CITIZENS CLEAN ELECTION COMMISSION,7838273.4700,,
2016,BOARD OF NURSING,6440192.3800,209800.0000,3.2576666599515463
2017,INDUSTRIAL COMMISSION,39327506.6500,3072128.0100,7.811652127709958
2017,BOARD OF PSYCHOLOGIST EXAMINERS,734644.8700,,
2017,CONSTABLE ETHICS STANDARDS AND TRAINING BOARD,296399.9400,,
2018,REAL ESTATE DEPARTMENT,3998209.2300,,
2018,BOARD OF FUNERAL DIRECTORS AND EMBALMERS,428672.2400,,
2018,GOVERNOR'S OFFICE,35777266.6400,10115297.4900,28.272974544932982
2018,COURT OF APPEALS,188901.3200,,
2019,DEPT OF TRANSPORTATION,3893410125.2500,657504922.2900,16.887635803530483
2019,DEPT OF GAMING,16220130.8100,,
2019,DEPT OF AGRICULTURE,23231024.8200,5826535.7500,25.080838211596383
2019,SECRETARY OF STATE (DEPT OF STATE),6890432.3700,3305184.9500,47.967743858721015
2019,BOARD OF EXAM NURSING CARE,562483.2400,,
2019,ARIZONA FINANCE AUTHORITY,137912679.5300,14795259.7800,10.727990950811453
2019,BOARD FOR PRIVATE POSTSECONDARY EDU,584856.3900,,
2019,SENATE,-432.1000,,
2020,DEPT OF EDUCATION,2368208884.2900,1164592761.2100,49.17609966483807
2020,CORPORATION COMMISSION,63943127.2900,1022582.0000,1.5992054867168197
2020,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,131178845.5200,,
2020,DEPT OF CHILD SAFETY,669401740.6200,590665711.3800,88.2378511344959
2020,ATTORNEY GENERAL (DEPT OF LAW),111707091.5500,6453094.4700,5.77679928862135
2020,DEPT OF ENVIRONMENTAL QUALITY,127875468.5000,14295155.1000,11.178965964062138
2020,DEPT OF HOMELAND SECURITY,24282536.1500,24282536.1500,100.0
2020,EXPOSITION AND STATE FAIR BOARD,15131704.9400,,
2020,BOARD OF DISPENSING OPTICIANS,177975.5200,,
2020,MINE INSPECTOR,430458.8000,348115.1700,80.8707290918434
2020,BOARD OF OCCUPATIONAL EXAMINERS,274344.0800,,
2020,PERSONNEL BOARD,524144.4000,,
2020,BOARD OF OPTOMETRY,334066.7000,,
2021,AHCCCS,16030847797.4100,13940956309.4000,86.96331276785217
2021,GAME AND FISH DEPARTMENT,121305108.5000,34600917.1700,28.523874713817186
2021,LOTTERY COMMISSION,638600919.5800,,
2021,OFFICE OF ADMINISTRATIVE HEARINGS,746472.3600,,
2021,NATUROPATHIC PHYSICIANS MEDICAL BOARD,394684.8000,,
2021,SCHOOL FACILITIES BOARD,236309751.6200,,
2021,NORTHERN ARIZONA UNIVERSITY,27744550.9200,,
2023,DEPT OF ADMINISTRATION,2192948836.3200,1353811.6500,0.06173475767322684
2023,BOARD OF OSTEOPATHIC EXAMINERS,1732366.0800,,
2024,REGISTRAR OF CONTRACTORS,21652958.2100,,
2024,BOARD OF PHARMACY,7366078.4100,62510.3500,0.8486245532648355
2024,SUPREME COURT,113112396.8000,1349535.3500,1.1930923472395203
2024,PARKS BOARD,68349753.1700,6007383.7000,8.789181264573687
2024,DEPT OF HOUSING,385396238.7500,135905188.8100,35.263755881686066
2024,DEPT OF ECONOMIC SECURITY,5154334039.6200,4845389749.9400,94.00612596496022
2024,DEPT OF PUBLIC SAFETY,466227859.7600,35460137.1200,7.605752504420008
2024,DEPT OF LIQUOR LICENSES AND CONTROL,17068097.7800,,
2024,BOARD OF PODIATRY EXAMINERS,244104.6900,,
2024,DEPT OF EMERGENCY AND MILITARY AFFAIRS,74778815.7200,62099218.4700,83.04386459197592
2024,WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA,373102665.4000,52714616.6800,14.128716186866459
2024,BOARD OF BEHAVIORAL HEALTH EXAMINERS,3099332.3800,,
2024,BOARD OF CHIROPRACTIC EXAMINERS,867140.2400,,
2024,ARIZONA COMMERCE AUTHORITY,42523052.4500,,
2025,DEPT OF WATER RESOURCES,31961579.9000,471354.2500,1.4747526607719414
2025,CITIZENS CLEAN ELECTION COMMISSION,6922911.9800,,
2025,BOARD OF NURSING,31423875.1000,,
2025,ARIZONA HISTORICAL SOCIETY,946364.3000,,
2017,BOARD OF ATHLETIC TRAINING,145176.0000,,
2024,ARIZONA STATE UNIVERSITY,13571260.6900,,
2017,RESIDENTIAL UTILITY CONSUMER OFFICE,1230477.7200,,
2019,RADIATION REGULATORY AGENCY,-160.0000,,
2021,LEGISLATIVE COUNCIL,327.0000,,
2019,BOARD OF EDUCATION,554.4500,,
2016,DEPT OF CORRECTIONS,103339964.2100,5722109.3300,5.5371698391262685
2016,OFFICE OF PEST MANAGEMENT,1665350.3800,113500.0000,6.815382598345461
2016,COMMISSION FOR POSTSECONDARY EDUCATION,2269404.5000,,
2016,LAND DEPARTMENT,-14110998.4600,,
2016,DEPT OF FORESTRY AND FIRE MANAGEMENT,37254501.0600,623760.7700,1.6743232421644998
2016,BOARD OF PHYSICAL THERAPY,174753.5000,,
2016,VETERINARY MEDICAL EXAMINING BOARD,191572.0000,,
2017,DEPT OF ECONOMIC SECURITY,2170936304.4300,1934548153.2600,89.11123506076031
2017,DEPT OF EMERGENCY AND MILITARY AFFAIRS,66988626.8200,52479013.6400,78.34018419426977
2017,DEPT OF PUBLIC SAFETY,476510092.3200,35083479.7900,7.362589031260164
2017,PARKS BOARD,35298047.1000,2656281.9900,7.525294480101705
2017,SUPREME COURT,91821062.4600,1032694.3300,1.1246813120354304
2017,DEPT OF LIQUOR LICENSES AND CONTROL,9832749.3000,,
2017,DEPT OF HOUSING,129386425.3600,80771271.2700,62.42638750183028
2017,DEPT OF INSURANCE,526428748.1900,208549.0300,0.03961581329231092
2017,REGISTRAR OF CONTRACTORS,13969727.4200,,
2017,BOARD OF PHARMACY,5296622.5400,,
2017,BOARD OF PODIATRY EXAMINERS,159444.6800,,
2017,BOARD OF BEHAVIORAL HEALTH EXAMINERS,1973053.3500,,
2017,ARIZONA COMMERCE AUTHORITY,27322836.6200,,
2017,BOARD OF COSMETOLOGY,2057680.0200,,
2017,ARIZONA STATE UNIVERSITY,673972870.0000,,
2017,BOARD OF CHIROPRACTIC EXAMINERS,476725.6100,,
2018,STATE TREASURER,287114014.9400,0.0000,0.0
2018,UNIVERSITY OF ARIZONA,447108532.2600,,
2019,ATTORNEY GENERAL (DEPT OF LAW),160034435.3400,4512049.5400,2.8194241635645216
2019,CORPORATION COMMISSION,84186641.1400,1406935.0600,1.6712093996722197
2019,DEPT OF EDUCATION,2223358916.6100,1140037673.9500,51.275467286597085
2019,DEPT OF ENVIRONMENTAL QUALITY,128920013.3700,15959242.1400,12.37918126349943
2019,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,128455830.1400,,
2019,DEPT OF HOMELAND SECURITY,20136432.2000,20136432.2000,100.0
2019,BOARD OF OPTOMETRY,296989.8800,,
2019,BOARD OF OCCUPATIONAL EXAMINERS,266931.3400,,
2019,DEPT OF CHILD SAFETY,594924150.8900,501038263.4200,84.21884750693887
2019,MINE INSPECTOR,359235.3600,265354.8200,73.8665648058699
2019,EXPOSITION AND STATE FAIR BOARD,12631135.9900,,
2019,BOARD OF DISPENSING OPTICIANS,190981.6300,,
2019,PERSONNEL BOARD,500823.4100,,
2020,DEPT OF AGRICULTURE,24591780.4600,4925756.1200,20.030091469025745
2020,BOARD FOR PRIVATE POSTSECONDARY EDU,687726.3400,,
2020,SECRETARY OF STATE (DEPT OF STATE),23784321.3200,19341762.8300,81.32148304663082
2020,DEPT OF TRANSPORTATION,3587498298.5500,687677273.3100,19.16871357368856
2020,ARIZONA FINANCE AUTHORITY,147543401.4400,38891807.3500,26.359570790982303
2020,BOARD OF EXAM NURSING CARE,460807.0700,,
2020,DEPT OF GAMING,106388062.6000,,
2021,MEDICAL BOARD,8765255.0500,,
2021,DEPT OF REVENUE,12974954842.3400,,
2021,OFFICE OF ECONOMIC OPPORTUNITY,11672881.9400,2660826.7200,22.794942445892673
2023,BOARD OF MASSAGE THERAPY,552937.4800,,
2023,DEPT OF VETERANS SERVICES,34420019.6000,1320255.0900,3.835718588608822
2023,ARIZONA STATE RETIREMENT SYSTEM (ASRS),90892068.9600,,
2023,BOARD OF RESPIRATORY CARE EXAMINERS,438149.2200,,
2023,COTTON RESEARCH AND PROTECTION COUNCIL,3521758.3800,483096.6200,13.71748336693104
2024,BARBERING AND COSMETOLOGY BOARD,5017239.0200,,
2024,BOARD OF OCCUPATIONAL THERAPY EXAMINERS,346476.0900,,
2024,INDUSTRIAL COMMISSION,82260968.5100,3427806.6500,4.1669903869212295
2024,CONSTABLE ETHICS STANDARDS AND TRAINING BOARD,383002.3600,,
2024,BOARD OF ATHLETIC TRAINING,184190.2300,,
2024,BOARD OF PSYCHOLOGIST EXAMINERS,923347.2100,,
2025,VETERINARY MEDICAL EXAMINING BOARD,1852326.8000,,
2025,DEPT OF FORESTRY AND FIRE MANAGEMENT,98585448.9700,54455035.5000,55.236382314971166
2025,DEPT OF CORRECTIONS,155714537.1600,4125564.6000,2.6494408776753415
2025,LAND DEPARTMENT,81801009.4800,,
2025,BOARD OF PHYSICAL THERAPY,1287155.6900,,
2025,COURT OF APPEALS DIV II,48099.3000,,
2016,COURT OF APPEALS DIV II,82625.9400,,
2024,RESIDENTIAL UTILITY CONSUMER OFFICE,1581091.6100,,
2021,BOARD OF EQUALIZATION,10051.3900,,
2021,AUTOMOBILE THEFT AUTHORITY,-6034836.9400,,
2023,OFFICE OF EQUAL OPPORTUNITY,211400.0000,,
2020,BOARD OF EDUCATION,-163460.8200,,
2016,DEPT OF TRANSPORTATION,2888965039.5100,900968006.6300,31.186532003959936
2016,SECRETARY OF STATE (DEPT OF STATE),6451626.6000,3044446.3000,47.18881746814052
2016,RADIATION REGULATORY AGENCY,3637916.1300,78758.2700,2.1649281397809466
2016,BOARD OF EXAM NURSING CARE,408816.5500,,
2016,DEPT OF AGRICULTURE,16614474.1800,4668136.4800,28.09680540849954
2016,DEPT OF GAMING,16656083.2000,,
2016,BOARD FOR PRIVATE POSTSECONDARY EDU,1152256.3100,,
2017,DEPT OF FINANCIAL INSTITUTIONS,12891756.3400,,
2017,DEPT OF VETERANS SERVICES,40295485.1400,628065.6800,1.5586502503143707
2017,BOARD OF MASSAGE THERAPY,651606.7400,,
2017,ARIZONA STATE RETIREMENT SYSTEM (ASRS),89743668.2200,,
2017,BOARD OF RESPIRATORY CARE EXAMINERS,362241.4700,,
2017,COTTON RESEARCH AND PROTECTION COUNCIL,4359143.8200,480597.0000,11.025031975201038
2018,ACUPUNCTURE BOARD OF EXAMINERS,184949.0000,,
2018,SCHOOLS FOR THE DEAF AND THE BLIND,33401702.8700,1230307.8000,3.683368494080613
2018,BOARD OF DENTAL EXAMINERS,928796.8300,,
2018,DEPT OF JUVENILE CORRECTIONS,17282719.9700,,
2018,STATEWIDE SYSTEMS PROCESSING,334077553.7600,,
2018,GOVERNOR'S OFFICE ON TRIBAL RELATIONS,19975.0000,,
2019,BOARD OF BARBERS,447688.5400,,
2019,BOARD OF NURSING,8028581.8500,,
2019,CITIZENS CLEAN ELECTION COMMISSION,7370808.3500,,
2019,DEPT OF WATER RESOURCES,24612997.7700,503771.1600,2.046768803652315
2019,ARIZONA HISTORICAL SOCIETY,3078563.9500,,
2020,BOARD OF PHYSICAL THERAPY,182714.6300,,
2020,DEPT OF FORESTRY AND FIRE MANAGEMENT,44176927.6600,30554517.9600,69.16397218737687
2020,DEPT OF CORRECTIONS,417317160.7200,14957664.8900,3.5842439031726956
2020,LAND DEPARTMENT,15594678.3800,,
2020,COMMISSION FOR POSTSECONDARY EDUCATION,2963782.1200,,
2020,VETERINARY MEDICAL EXAMINING BOARD,179777.9000,,
2020,COURT OF APPEALS DIV II,28916.1100,,
2021,CRIMINAL JUSTICE COMMISSION,21283567.2100,10127168.0800,47.582099279117976
2021,COMMISSION FOR DEAF AND HARD OF HEARING,3701870.7200,,
2021,AUDITOR GENERAL,1563586.0000,,
2023,DEPT OF HOUSING,230706339.7700,113138280.5900,49.03995299946759
2023,DEPT OF ECONOMIC SECURITY,4767902363.1200,4503365968.8300,94.45172375306583
2023,PARKS BOARD,92108433.7500,8478325.2300,9.204721961738928
2023,REGISTRAR OF CONTRACTORS,20364460.2500,,
2023,DEPT OF PUBLIC SAFETY,521326973.0600,64064769.7600,12.288788624145624
2023,DEPT OF LIQUOR LICENSES AND CONTROL,24038156.4900,,
2023,BOARD OF PHARMACY,6919352.2300,89436.7600,1.2925597227473415
