fiscal_year,agency,total_revenue,federal_revenue,federal_dependency_pct
2017,CORPORATION COMMISSION,79521986.0900,1167760.0000,1.4684743898100998
2017,MINE INSPECTOR,804313.7200,671328.9400,83.46605600610667
2017,PERSONNEL BOARD,488627.4300,,
2017,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,139987463.5800,79762.4800,0.056978302170906436
2017,BOARD OF OPTOMETRY,286959.1000,,
2017,BOARD OF DISPENSING OPTICIANS,176070.0000,,
2017,DEPT OF HOMELAND SECURITY,22412591.7700,22412591.7700,100.0
2017,EXPOSITION AND STATE FAIR BOARD,13070169.0400,,
2017,BOARD OF OCCUPATIONAL EXAMINERS,232406.0000,,
2018,DEPT OF REVENUE,9176206700.8200,,
2018,MEDICAL BOARD,7930233.6800,,
2018,OFFICE OF ECONOMIC OPPORTUNITY,11810343.0700,2150877.0800,18.21180864308288
2018,AUTOMOBILE THEFT AUTHORITY,6338451.9100,,
2019,PARKS BOARD,38173810.3800,1159320.4900,3.036952503456114
2019,DEPT OF PUBLIC SAFETY,547835905.2900,56552544.1900,10.322898452605731
2019,BOARD OF COSMETOLOGY,2555839.5000,,
2019,REGISTRAR OF CONTRACTORS,15619870.9800,,
2019,SUPREME COURT,88358598.8200,1109352.2200,1.255511330889165
2019,DEPT OF INSURANCE,568254638.4800,215453.7500,0.03791500067228804
2019,DEPT OF HOUSING,114543432.4000,84158734.5100,73.4732081505181
2019,DEPT OF ECONOMIC SECURITY,2519299869.5700,2328983504.1000,92.44566445746358
2019,BOARD OF PHARMACY,7129164.3300,-632356.8500,-8.869999634304964
2019,DEPT OF EMERGENCY AND MILITARY AFFAIRS,62339169.0300,45050203.7600,72.26628853252778
2019,DEPT OF LIQUOR LICENSES AND CONTROL,9830578.8200,,
2019,BOARD OF PODIATRY EXAMINERS,170248.3400,,
2019,BOARD OF BEHAVIORAL HEALTH EXAMINERS,2237304.3400,,
2019,ARIZONA STATE UNIVERSITY,12374166.0000,,
2019,BOARD OF CHIROPRACTIC EXAMINERS,533822.3300,,
2019,ARIZONA COMMERCE AUTHORITY,26786842.6900,,
2020,INDUSTRIAL COMMISSION,25234075.5300,2752533.2900,10.908001312461792
2020,BOARD OF ATHLETIC TRAINING,172478.8900,,
2020,CONSTABLE ETHICS STANDARDS AND TRAINING BOARD,431133.6800,,
2020,BOARD OF PSYCHOLOGIST EXAMINERS,793681.4500,,
2021,STATE TREASURER,332007669.5900,0.0000,0.0
2021,UNIVERSITY OF ARIZONA,60394885.6400,,
2023,DEPT OF WATER RESOURCES,40170581.5000,715635.5100,1.781491537532261
2023,BOARD OF NURSING,9019735.6100,,
2023,CITIZENS CLEAN ELECTION COMMISSION,6022869.0600,,
2023,ARIZONA HISTORICAL SOCIETY,1190735.8100,,
2024,DEPT OF TRANSPORTATION,5378385533.3700,1115531160.6700,20.741004038269978
2024,SECRETARY OF STATE (DEPT OF STATE),12470935.1600,6690615.8100,53.64967201064334
2024,DEPT OF AGRICULTURE,33719749.7200,5370425.9500,15.926648313212926
2024,BOARD FOR PRIVATE POSTSECONDARY EDU,929845.0300,,
2024,DEPT OF GAMING,215291424.7100,,
2024,BOARD OF EXAM NURSING CARE,442349.9100,,
2025,DEPT OF ADMINISTRATION,1872833171.8400,1544127.9000,0.08244876923463197
2025,BOARD OF OSTEOPATHIC EXAMINERS,1840824.1200,,
2018,BOARD OF EQUALIZATION,1077.8400,,
2020,RESIDENTIAL UTILITY CONSUMER OFFICE,1342513.6900,,
2020,BOARD OF OCCUPATIONAL THERAPY EXAMINERS,29783.0000,,
2023,BOARD OF BARBERS,11857.4000,,
2024,BOARD OF EDUCATION,21.2500,,
2016,NAVIGABLE STREAM ADJUDICATION COMMISSION,200000.0000,,
2025,NAVIGABLE STREAM ADJUDICATION COMMISSION,26549.4300,,
2016,DEPT OF INSURANCE,529652390.0900,333837.3500,0.06302951827391423
