vendor_id_code,payee,agency,fiscal_year,transaction_reference_id,amount,distinct_txns,day_span,first_date,last_date,exposure,severity,status,confidence
78432301,EMPOWER EMERGENCY PHYS.,AHCCCS,2018,GAXCMHCAPMMS18001006,39.7400,2,2,2017-09-11,2017-09-13,39.7400,low,unreviewed,medium
24196101,MOUNTAIN VISTA MED CTR,AHCCCS,2018,GAXCMHCAPMMS18004572,517.6700,2,9,2018-06-11,2018-06-20,517.6700,low,unreviewed,medium
00010497,STEWARD HEALTH CHOICE ARIZONA INC,AHCCCS,2021,GAXCMHCAPMMS21001435,1064.5100,2,2,2020-10-05,2020-10-07,1064.5100,low,unreviewed,medium
CH0109224,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001842378,234.3600,2,5,2021-02-04,2021-02-09,234.3600,low,unreviewed,medium
00010254,"CARE 1ST HEALTH PLAN ARIZONA, INC.",AHCCCS,2021,GAXCMHCAPMMS21001464,78.7200,2,2,2020-10-06,2020-10-08,78.7200,low,unreviewed,medium
CH0122869,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001878864,22.1200,2,62,2021-03-05,2021-05-06,22.1200,low,unreviewed,medium
CH0090985,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001931963,449.9400,2,5,2021-05-05,2021-05-10,449.9400,low,unreviewed,medium
CH0131377,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001938920,449.9400,4,6,2021-05-12,2021-05-18,1349.8200,low,unreviewed,medium
CH0114749,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002413611,290.2800,2,6,2022-08-04,2022-08-10,290.2800,low,unreviewed,medium
00010789,MERCY MARICOPA INTEGRATED CARE,AHCCCS,2023,GAXCMHCAPMMS23000473,573.7200,2,329,2022-08-05,2023-06-30,573.7200,low,unreviewed,medium
CH0142834,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002566549,290.8800,2,28,2023-01-19,2023-02-16,290.8800,low,unreviewed,medium
15830301,PURE CARE BEHAVIORAL HEAL,AHCCCS,2023,GAXNEHCAPMMS23123640,4209.3000,2,51,2023-03-08,2023-04-28,4209.3000,low,unreviewed,medium
CH0064272,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002647267,310.4100,2,3,2023-04-10,2023-04-13,310.4100,low,unreviewed,medium
90527301,MATERNAL CHILD HLTH PRGM,AHCCCS,2023,GAXCMHCAPMMS23004024,654.0000,2,18,2023-04-08,2023-04-26,654.0000,low,unreviewed,medium
CH0138791,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002654202,34.5800,2,35,2023-04-19,2023-05-24,34.5800,low,unreviewed,medium
IV0000062102,CODEX CORPORATION,DEPT OF CORRECTIONS,2023,GAEIV1DCAPO0000498672,1333.2900,4,102,2023-03-17,2023-06-27,3999.8700,low,unreviewed,medium
CH0049458,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002755371,259.3200,3,12,2023-08-04,2023-08-16,518.6400,low,unreviewed,medium
00110306,MERCY CARE PLAN - LTC,AHCCCS,2024,GAXCMHCAPMMS24000600,587.8800,2,3,2023-07-31,2023-08-03,587.8800,low,unreviewed,medium
CH0140534,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002840527,305.6600,2,30,2023-11-06,2023-12-06,305.6600,low,unreviewed,medium
12196301,"GILA VALLEY CLINIC, P.C.",AHCCCS,2024,GAXCMHCAPMMS24004769,58.8800,2,23,2024-03-18,2024-04-10,58.8800,low,unreviewed,medium
CH0056383,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002954790,687.2600,2,5,2024-03-06,2024-03-11,687.2600,low,unreviewed,medium
72313601,BANNER HOSPITAL BASED,AHCCCS,2024,GAXCMHCAPMMS24004590,63.8400,2,1,2024-03-05,2024-03-06,63.8400,low,unreviewed,medium
53645101,COLORADO RIVER INDIAN TR,AHCCCS,2025,GAXCMHCAPMMS25002625,48.8200,2,2,2024-12-02,2024-12-04,48.8200,low,unreviewed,medium
01010314,BANNER UNIVERSITY FAMILY CARE,AHCCCS,2025,GAXCMHCAPMMS25002295,56826.2800,2,12,2024-11-07,2024-11-19,56826.2800,low,unreviewed,medium
PZ000000045,CELLCO PARTNERSHIP,DEPT OF ECONOMIC SECURITY,2018,GAXDEA2G080756,40.0100,10,1,2017-08-15,2017-08-16,360.0900,low,unreviewed,medium
PZ000040049,"AAA ARIZONA\, INC.",DEPT OF TRANSPORTATION,2018,PRCPZ1DTAPR0000767101,48.0000,2,99,2018-03-07,2018-06-14,48.0000,low,unreviewed,medium
0215691A,UNIVERSITY NM HOSP-ALBQ,AHCCCS,2018,GAXCMHCAPMMS18000780,29769.2300,2,10,2017-08-28,2017-09-07,29769.2300,low,unreviewed,medium
01110313,BANNER UNIVERSITY CARE ADVANTAGE,AHCCCS,2021,GAXCMHCAPMMS21002786,936.2500,2,4,2021-01-07,2021-01-11,936.2500,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2021,GAXCMHCAPMMS21002668,323.6800,2,5,2020-12-30,2021-01-04,323.6800,low,unreviewed,medium
CH0134143,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001882334,21.7700,2,99,2021-03-08,2021-06-15,21.7700,low,unreviewed,medium
CH0132115,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001878003,3.5300,2,112,2021-03-08,2021-06-28,3.5300,low,unreviewed,medium
15508201,D & D CARE,AHCCCS,2023,GAXNEHCAPMMS23045838,9881.2100,2,111,2022-10-07,2023-01-26,9881.2100,low,unreviewed,medium
IV0000002110,CROWTHERS FRESHWATER TROUT,GAME AND FISH DEPARTMENT,2023,GAEIV1GFAPO0000481833,1842.4000,2,28,2023-01-30,2023-02-27,1842.4000,low,unreviewed,medium
34248101,RYDER MEDICAL P C,AHCCCS,2023,GAXNEHCAPMMS23160710,163.4300,2,7,2023-05-26,2023-06-02,163.4300,low,unreviewed,medium
43362201,SONORAN OTHO TRAUMA SURG,AHCCCS,2023,GAXCMHCAPMMS23004666,476.9900,2,8,2023-05-24,2023-06-01,476.9900,low,unreviewed,medium
80887301,CIRCULAR VALLEY CARE,AHCCCS,2024,GAXNEHCAPMMS24052339,13971.3400,2,7,2023-10-20,2023-10-27,13971.3400,low,unreviewed,medium
15342701,A STARR INNOVATIONS,AHCCCS,2024,GAXCMHCAPMMS24002149,4486.1400,2,1,2023-10-24,2023-10-25,4486.1400,low,unreviewed,medium
00010422,HEALTH NET ACCESS INC,AHCCCS,2024,GAXCMHCAPMMS24003328,230.6800,2,20,2023-12-27,2024-01-16,230.6800,low,unreviewed,medium
00042701,EVERGREEN PARK DIALYSIS,AHCCCS,2024,GAXCMHCAPMMS24003112,267.7100,2,10,2023-12-18,2023-12-28,267.7100,low,unreviewed,medium
13405701,"BMA OF AZ, INC.",AHCCCS,2024,GAXCMHCAPMMS24004993,1746.8500,2,15,2024-04-02,2024-04-17,1746.8500,low,unreviewed,medium
00010254,"CARE 1ST HEALTH PLAN ARIZONA, INC.",AHCCCS,2025,GAXCMHCAPMMS25001156,251.8600,2,2,2024-08-26,2024-08-28,251.8600,low,unreviewed,medium
CH0105514,NAME REDACTED,DEPT OF CHILD SAFETY,2025,GAXNECHAPY003320814,399.2600,2,37,2025-03-18,2025-04-24,399.2600,low,unreviewed,medium
11821901,PARSONS PEDIATRIC DENTIST,AHCCCS,2018,GAXHCAPMMS18043057,440.8200,2,93,2017-10-12,2018-01-13,440.8200,low,unreviewed,medium
1679821A,HAVASU REG MED CENTER LLC,AHCCCS,2018,GAXCMHCAPMMS18000876,75.3600,2,8,2017-09-05,2017-09-13,75.3600,low,unreviewed,medium
00010715,HEALTH CHOICE INTERGRATED CARE LLC,AHCCCS,2018,GAXCMHCAPMMS18002576,1032.9000,2,4,2018-01-13,2018-01-17,1032.9000,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2021,GAXCMHCAPMMS21003466,631.6300,2,2,2021-02-23,2021-02-25,631.6300,low,unreviewed,medium
CH0132115,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001883861,49.6100,2,110,2021-03-10,2021-06-28,49.6100,low,unreviewed,medium
00348501,MISSION PALMS POST ACUTE,AHCCCS,2023,GAXHCAPRG230000309,1439.0900,2,169,2022-09-01,2023-02-17,1439.0900,low,unreviewed,medium
00010497,STEWARD HEALTH CHOICE ARIZONA INC,AHCCCS,2023,GAXCMHCAPMMS23000886,1334.4600,2,3,2022-09-06,2022-09-09,1334.4600,low,unreviewed,medium
CH0106204,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002421297,4376.0000,2,7,2022-09-02,2022-09-09,4376.0000,low,unreviewed,medium
39249301,RAPID-RAY LLC,AHCCCS,2023,GAXNEHCAPMMS23093245,59.3000,2,6,2023-01-05,2023-01-11,59.3000,low,unreviewed,medium
01110313,BANNER UNIVERSITY CARE ADVANTAGE,AHCCCS,2023,GAXCMHCAPMMS23002813,950.3400,2,2,2023-01-11,2023-01-13,950.3400,low,unreviewed,medium
00190075,PASCUA YAQUI TRIBE,AHCCCS,2023,GAXCMHCAPMMS23003971,491.5500,2,85,2023-04-06,2023-06-30,491.5500,low,unreviewed,medium
00010422,HEALTH NET ACCESS INC,AHCCCS,2024,GAXCMHCAPMMS24000792,1360.3000,2,2,2023-08-07,2023-08-09,1360.3000,low,unreviewed,medium
73886401,"ZAREPHATH, INC",AHCCCS,2024,GAXCMHCAPMMS24001591,924.1300,2,9,2023-09-18,2023-09-27,924.1300,low,unreviewed,medium
CH0109438,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002805847,305.6600,4,5,2023-09-29,2023-10-04,916.9800,low,unreviewed,medium
CH0109438,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002805847,63.2400,4,5,2023-09-29,2023-10-04,189.7200,low,unreviewed,medium
CH0130267,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002880460,10.2400,2,5,2023-12-06,2023-12-11,10.2400,low,unreviewed,medium
00999448,"OPTUMRX PBM OF ILLINOIS, INC",AHCCCS,2024,GAXCMHCAPMMS24005838,65283.4700,2,15,2024-05-28,2024-06-12,65283.4700,low,unreviewed,medium
PCARDSTA0001,PCARD VENDOR STA,SECRETARY OF STATE (DEPT OF STATE),2025,GAXSTAP2629-2410,1176.0000,2,7,2024-10-24,2024-10-31,1176.0000,low,unreviewed,medium
GHOSTCDA0001,CENTRAL TRAVEL ACCOUNT (GHOST CARD) CDA,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,2025,GAXCDA250000008430,157.6000,2,7,2024-10-24,2024-10-31,157.6000,low,unreviewed,medium
GHOSTCDA0001,CENTRAL TRAVEL ACCOUNT (GHOST CARD) CDA,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,2025,GAXCDA250000008430,157.5400,2,7,2024-10-24,2024-10-31,157.5400,low,unreviewed,medium
PCARDHDA0001,PCARD VENDOR HDA,DEPT OF HOUSING,2025,GAXHDA2CA60898,28.9900,2,7,2024-10-25,2024-11-01,28.9900,low,unreviewed,medium
PCARDDJA0001,PCARD VENDOR DJA,DEPT OF JUVENILE CORRECTIONS,2025,GAXDJAPCARDSEPT24,1680.8800,2,7,2024-10-23,2024-10-30,1680.8800,low,unreviewed,medium
67769001,WESTERN PATHOLOGY ASSOC,AHCCCS,2025,GAXCMHCAPMMS25001940,45.7100,2,8,2024-10-15,2024-10-23,45.7100,low,unreviewed,medium
GHOSTDEA0001,CENTRAL TRAVEL ACCOUNT (GHOST CARD) DEA,DEPT OF ECONOMIC SECURITY,2025,GAXDEA2A341335,1001.3500,2,7,2024-10-24,2024-10-31,1001.3500,low,unreviewed,medium
GHOSTDEA0001,CENTRAL TRAVEL ACCOUNT (GHOST CARD) DEA,DEPT OF ECONOMIC SECURITY,2025,GAXDEA2A341335,66.3400,2,7,2024-10-24,2024-10-31,66.3400,low,unreviewed,medium
PZ000040049,"AAA ARIZONA\, INC.",DEPT OF TRANSPORTATION,2018,PRCPZ1DTAPR0000766866,149.0000,2,99,2018-03-07,2018-06-14,149.0000,low,unreviewed,medium
3268311A,INTEGRATED MEDICAL SERVIC,AHCCCS,2018,GAXCMHCAPMMS18003922,83.1700,2,9,2018-04-23,2018-05-02,83.1700,low,unreviewed,medium
69958702,LESUEUR/JEFFREY RAYNE,AHCCCS,2018,GAXCMHCAPMMS18002978,157.8000,2,16,2018-02-12,2018-02-28,157.8000,low,unreviewed,medium
31955101,SEDONA CARDIOLOGY CENTER,AHCCCS,2018,GAXHCAPMMS18126847,48.2900,2,37,2018-04-11,2018-05-18,48.2900,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2021,GAXCMHCAPMMS21001863,725.7700,2,2,2020-11-02,2020-11-04,725.7700,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2023,GAXCMHCAPMMS23001301,6292.1600,2,2,2022-10-04,2022-10-06,6292.1600,low,unreviewed,medium
00010500,"MAGELLAN COMPLETE CARE OF ARIZONA, INC",AHCCCS,2023,GAXCMHCAPMMS23001992,41.4500,2,1,2022-11-16,2022-11-17,41.4500,low,unreviewed,medium
CH0142964,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002920014,611.3200,2,23,2024-01-22,2024-02-14,611.3200,low,unreviewed,medium
00110306,MERCY CARE PLAN - LTC,AHCCCS,2024,GAXCMHCAPMMS24003627,668.5600,2,4,2024-01-19,2024-01-23,668.5600,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2024,GAXCMHCAPMMS24003676,26808.9500,2,1,2024-01-23,2024-01-24,26808.9500,low,unreviewed,medium
12856301,ARCADIA DIALYSIS,AHCCCS,2024,GAXCMHCAPMMS24003480,14251.6000,2,26,2024-01-12,2024-02-07,14251.6000,low,unreviewed,medium
55756101,"INOGEN, INC.",AHCCCS,2024,GAXCMHCAPMMS24003537,18.2400,2,10,2024-01-12,2024-01-22,18.2400,low,unreviewed,medium
CH0104678,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY003021558,391.3800,2,42,2024-05-06,2024-06-17,391.3800,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2025,GAXCMHCAPMMS25000454,693.1500,2,5,2024-07-25,2024-07-30,693.1500,low,unreviewed,medium
00010254,"CARE 1ST HEALTH PLAN ARIZONA, INC.",AHCCCS,2025,GAXCMHCAPMMS25000673,97.6900,2,1,2024-07-30,2024-07-31,97.6900,low,unreviewed,medium
VC0000081296,ELEVATE PARKING AZ LLC,WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA,2025,GAXFAA21025251,5.0700,2,14,2024-09-20,2024-10-04,5.0700,low,unreviewed,medium
10286201,VASCULAR AND INTERVENTIONAL PARTNERS LLC,AHCCCS,2025,GAXCMHCAPMMS25003073,159.6400,2,9,2025-01-06,2025-01-15,159.6400,low,unreviewed,medium
91303401,DESERT SENITA COMM. HLTH,AHCCCS,2025,GAXNEHCAPMMS25103380,208.8000,2,6,2025-02-26,2025-03-04,208.8000,low,unreviewed,medium
00010735,CENPATICO INTERGRATED CARE,AHCCCS,2018,GAXCMHCAPMMS18000808,100.8900,2,2,2017-08-28,2017-08-30,100.8900,low,unreviewed,medium
00010314,"UNIVERSITY PHYSICIANS\,INC",AHCCCS,2018,GAXCMHCAPMMS18003829,462.8700,2,2,2018-04-16,2018-04-18,462.8700,low,unreviewed,medium
34021001,"BILTMORE CARDIOLOGY\, PLLC",AHCCCS,2018,GAXCMHCAPMMS18002596,107.4000,2,8,2018-01-16,2018-01-24,107.4000,low,unreviewed,medium
CH0127056,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001885689,2.9000,3,92,2021-03-18,2021-06-18,5.8000,low,unreviewed,medium
CH0126308,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001850098,119.0400,5,85,2021-02-18,2021-05-14,476.1600,low,unreviewed,medium
CH0142464,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002396843,929.8800,2,6,2022-08-11,2022-08-17,929.8800,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2023,GAXCMHCAPMMS23000546,4969.9700,2,4,2022-08-11,2022-08-15,4969.9700,low,unreviewed,medium
CH0088578,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002418504,148.2000,2,6,2022-08-16,2022-08-22,148.2000,low,unreviewed,medium
CH0145563,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002596592,388.5000,6,25,2023-02-23,2023-03-20,1942.5000,low,unreviewed,medium
4813091A,NORTHWEST MEDICAL CENTER,AHCCCS,2023,GAXCMHCAPMMS23001979,34.8200,2,2,2022-11-14,2022-11-16,34.8200,low,unreviewed,medium
15438401,COMMUNITY HOPE WELLNESS C,AHCCCS,2023,GAXCMHCAPMMS23003397,4424.9800,2,129,2023-02-21,2023-06-30,4424.9800,low,unreviewed,medium
00010254,"CARE 1ST HEALTH PLAN ARIZONA, INC.",AHCCCS,2023,GAXCMHCAPMMS23003509,267.4300,2,2,2023-02-27,2023-03-01,267.4300,low,unreviewed,medium
CH0145302,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002596696,1200.0000,2,27,2023-02-23,2023-03-22,1200.0000,low,unreviewed,medium
CH0110972,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002726819,586.9300,2,56,2023-07-07,2023-09-01,586.9300,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2024,GAXCMHCAPMMS24004251,4045.8000,2,5,2024-02-15,2024-02-20,4045.8000,low,unreviewed,medium
52687201,DIGNITY HLTH AZ GENERAL,AHCCCS,2025,GAXCMHCAPMMS25000534,3471.1900,2,8,2024-07-30,2024-08-07,3471.1900,low,unreviewed,medium
85187501,SJHMC CATHOLIC HLTH WEST,AHCCCS,2025,GAXCMHCAPMMS25001140,442.0800,2,11,2024-08-26,2024-09-06,442.0800,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2025,GAXCMHCAPMMS25001316,6909.3700,2,272,2024-09-06,2025-06-05,6909.3700,low,unreviewed,medium
IV0000001724,WELLS FARGO BANK NA,AHCCCS,2025,GAXHCAADM250000283,0.2300,2,28,2024-08-14,2024-09-11,0.2300,low,unreviewed,medium
1045671A,VALLEY VIEW MEDICAL CENT,AHCCCS,2025,GAXCMHCAPMMS25001708,464.9700,2,9,2024-09-30,2024-10-09,464.9700,low,unreviewed,medium
CH0152363,NAME REDACTED,DEPT OF CHILD SAFETY,2025,GAXNECHAPY003210180,62.5000,4,24,2024-12-02,2024-12-26,187.5000,low,unreviewed,medium
55870201,SABINO CANYON REHAB CTR,AHCCCS,2025,GAXCMHCAPMMS25002802,513.3000,2,10,2024-12-16,2024-12-26,513.3000,low,unreviewed,medium
CH0151691,NAME REDACTED,DEPT OF CHILD SAFETY,2025,GAXNECHAPY003376392,18.9600,2,33,2025-05-09,2025-06-11,18.9600,low,unreviewed,medium
69913501,FAST CARE TRANSPORTATION,AHCCCS,2024,GAXCMHCAPMMS24004031,101.8100,3,29,2024-02-05,2024-03-05,203.6200,low,unreviewed,medium
38636901,CHINLE NURSING HOME,AHCCCS,2018,GAXCMHCAPMMS18001898,6040.6600,2,8,2017-11-21,2017-11-29,6040.6600,low,unreviewed,medium
00010422,HEALTH NET ACCESS INC,AHCCCS,2021,GAXCMHCAPMMS21002875,10856.2900,2,3,2021-01-12,2021-01-15,10856.2900,low,unreviewed,medium
7212501C,TUBA CITY REGIONAL HEALTH,AHCCCS,2021,GAXCMHCAPMMS21003004,25.5100,2,22,2021-01-19,2021-02-10,25.5100,low,unreviewed,medium
4449011A,MAYO CLINIC SCOTTSDALE,AHCCCS,2021,GAXCMHCAPMMS21002178,200.6200,2,2,2020-11-23,2020-11-25,200.6200,low,unreviewed,medium
CH0143359,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002417664,362.6000,2,27,2022-08-11,2022-09-07,362.6000,low,unreviewed,medium
CH0141937,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002418099,20.4600,2,3,2022-08-15,2022-08-18,20.4600,low,unreviewed,medium
CH0141606,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002418833,125.0000,2,70,2022-08-17,2022-10-26,125.0000,low,unreviewed,medium
39493201,NATIVE AMERICAN COMM HLTH,AHCCCS,2023,GAXCMHCAPMMS23003866,12669.3000,2,15,2023-03-27,2023-04-11,12669.3000,low,unreviewed,medium
CH0134810,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002639425,454.8800,2,4,2023-04-10,2023-04-14,454.8800,low,unreviewed,medium
00010422,HEALTH NET ACCESS INC,AHCCCS,2024,GAXCMHCAPMMS24001038,638.4700,4,1,2023-08-17,2023-08-18,1915.4100,low,unreviewed,medium
CH0146648,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002774103,25.8000,2,7,2023-08-22,2023-08-29,25.8000,low,unreviewed,medium
00010497,STEWARD HEALTH CHOICE ARIZONA INC,AHCCCS,2024,GAXCMHCAPMMS24001064,9216.6700,2,4,2023-08-18,2023-08-22,9216.6700,low,unreviewed,medium
46705201,RENAL CARE GP.- SHOW LOW,AHCCCS,2025,GAXCMHCAPMMS25000144,434.8500,2,4,2024-07-05,2024-07-09,434.8500,low,unreviewed,medium
02065201,SCOTTSDALE HLTHCARE-OSBN,AHCCCS,2025,GAXCMHCAPMMS25000137,255.3600,2,4,2024-07-05,2024-07-09,255.3600,low,unreviewed,medium
60675701,U.S. RENAL CARE GALLUP PD,AHCCCS,2025,GAXCMHCAPMMS25000092,523.6500,2,54,2024-07-05,2024-08-28,523.6500,low,unreviewed,medium
63032901,BANNER CANCER CENTER SPEC,AHCCCS,2025,GAXCMHCAPMMS25002433,352.2900,2,9,2024-11-18,2024-11-27,352.2900,low,unreviewed,medium
00010306,MERCY CARE PLAN,AHCCCS,2018,GAXHCAPMMS18041367,11603.4900,2,1,2017-10-04,2017-10-05,11603.4900,low,unreviewed,medium
PZ000026481,US DEPARTMENT OF THE INTERIOR,DEPT OF CORRECTIONS,2018,GAXDCAF1800091,17.0000,2,76,2017-11-15,2018-01-30,17.0000,low,unreviewed,medium
CH0034130,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001830079,707.3400,2,6,2021-02-19,2021-02-25,707.3400,low,unreviewed,medium
CH0135755,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001943710,15.0900,2,6,2021-05-28,2021-06-03,15.0900,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2023,GAXCMHCAPMMS23003758,1976.7000,2,4,2023-03-17,2023-03-21,1976.7000,low,unreviewed,medium
0201231A,FLAGSTAFF MEDICAL CENTER,AHCCCS,2023,GAXCMHCAPMMS23003710,72.4900,2,109,2023-03-13,2023-06-30,72.4900,low,unreviewed,medium
CH0138659,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002596629,290.8800,2,22,2023-02-23,2023-03-17,290.8800,low,unreviewed,medium
14676801,LEMACLINICLLC,AHCCCS,2023,GAXCMHCAPMMS23003769,22855.8800,2,101,2023-03-21,2023-06-30,22855.8800,low,unreviewed,medium
50713001,RED ROCKS DIALYSIS GALLUP,AHCCCS,2023,GAXCMHCAPMMS23005147,1043.8400,2,7,2023-06-07,2023-06-14,1043.8400,low,unreviewed,medium
CH0145505,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002624876,40.3200,2,58,2023-03-20,2023-05-17,40.3200,low,unreviewed,medium
54847901,MEDEX GROUP,AHCCCS,2023,GAXNEHCAPMMS23120723,235.3100,2,8,2023-06-13,2023-06-21,235.3100,low,unreviewed,medium
54847901,MEDEX GROUP,AHCCCS,2023,GAXNEHCAPMMS23139269,6366.8100,2,8,2023-06-13,2023-06-21,6366.8100,low,unreviewed,medium
54847901,MEDEX GROUP,AHCCCS,2023,GAXNEHCAPMMS23174770,69.8900,2,9,2023-06-14,2023-06-23,69.8900,low,unreviewed,medium
01110313,BANNER UNIVERSITY CARE ADVANTAGE,AHCCCS,2024,GAXCMHCAPMMS24000840,3004.1100,2,2,2023-08-08,2023-08-10,3004.1100,low,unreviewed,medium
15203701,CENTRAL HOME HEALTH SERVI,AHCCCS,2024,GAXNEHCAPMMS24028550,2505.1200,2,61,2023-09-06,2023-11-06,2505.1200,low,unreviewed,medium
CH0102118,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002858110,41.8000,2,7,2023-11-07,2023-11-14,41.8000,low,unreviewed,medium
93361801,LAKE POWELL MEDICAL CENTE,AHCCCS,2024,GAXCMHCAPRG23B000093,55041.2400,2,43,2024-01-09,2024-02-21,55041.2400,low,unreviewed,medium
CH0110851,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY003033155,431.9500,3,7,2024-05-09,2024-05-16,863.9000,low,unreviewed,medium
07999001,VIRUITY ARIZONA HOSPITALI,AHCCCS,2025,GAXNEHCAPMMS25098979,443.4300,3,14,2025-02-20,2025-03-06,886.8600,low,unreviewed,medium
CH0117202,NAME REDACTED,DEPT OF CHILD SAFETY,2025,GAXNECHAPY003343250,401.4500,2,32,2025-04-04,2025-05-06,401.4500,low,unreviewed,medium
00010306,MERCY CARE PLAN,AHCCCS,2018,GAXHCAPMMS18039656,50.6400,2,1,2017-10-04,2017-10-05,50.6400,low,unreviewed,medium
18831101,PAPAGO DIALYSIS CENTER,AHCCCS,2021,GAXCMHCAPMMS21002518,5101.0300,2,8,2020-12-22,2020-12-30,5101.0300,low,unreviewed,medium
CH0093419,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001938730,1.3200,2,6,2021-05-21,2021-05-27,1.3200,low,unreviewed,medium
CH0044229,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002472721,197.4300,2,7,2022-10-06,2022-10-13,197.4300,low,unreviewed,medium
CH0106777,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002458225,259.9700,2,21,2022-10-06,2022-10-27,259.9700,low,unreviewed,medium
CH0126137,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002610894,635.1100,2,4,2023-03-06,2023-03-10,635.1100,low,unreviewed,medium
IV0000023819,CISCO SYSTEMS INC,AHCCCS,2023,GAXIV1HCAINV001082728,236.4200,2,58,2023-01-10,2023-03-09,236.4200,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2024,GAXCMHCAPMMS24000498,7655.1000,2,4,2023-07-27,2023-07-31,7655.1000,low,unreviewed,medium
00852001,OPTIMAL HEALTH MED CLINIC,AHCCCS,2024,GAXCMHCAPMMS24000214,237.1500,2,9,2023-07-18,2023-07-27,237.1500,low,unreviewed,medium
CH0146679,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002833702,1200.0000,2,40,2023-10-19,2023-11-28,1200.0000,low,unreviewed,medium
48877901,LOS NINOS HOME MEDICAL,AHCCCS,2024,GAXCMHCAPMMS24002009,201.8200,2,7,2023-10-18,2023-10-25,201.8200,low,unreviewed,medium
CH0089115,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002814888,400.2300,2,13,2023-10-05,2023-10-18,400.2300,low,unreviewed,medium
