vendor_id_code,payee,agency,fiscal_year,transaction_reference_id,amount,distinct_txns,day_span,first_date,last_date,exposure,severity,status,confidence
CH0062263,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002850001,456.4400,2,8,2023-11-06,2023-11-14,456.4400,low,unreviewed,medium
02124601,PRESBYTERIAN HOSP-NM,AHCCCS,2024,GAXCMHCAPMMS24004005,124.4200,2,9,2024-02-05,2024-02-14,124.4200,low,unreviewed,medium
01110313,BANNER UNIVERSITY CARE ADVANTAGE,AHCCCS,2024,GAXCMHCAPMMS24003981,4022.0100,2,4,2024-02-01,2024-02-05,4022.0100,low,unreviewed,medium
00010497,STEWARD HEALTH CHOICE ARIZONA INC,AHCCCS,2025,GAXCMHCARMMS25015297,72998.0400,2,8,2024-12-11,2024-12-19,72998.0400,low,unreviewed,medium
CH0127690,NAME REDACTED,DEPT OF CHILD SAFETY,2025,GAXNECHAPY003229710,1072.5000,2,28,2024-12-05,2025-01-02,1072.5000,low,unreviewed,medium
64678601,SUNRISE AIR AMBULANCE,AHCCCS,2018,GAXCMHCAPMMS18000274,4204.0700,2,16,2017-07-24,2017-08-09,4204.0700,low,unreviewed,medium
00010795,MERCY MARICOPA INTERGRATED CARE,AHCCCS,2018,GAXCMHCAPMMS18000211,1161.3700,2,2,2017-07-17,2017-07-19,1161.3700,low,unreviewed,medium
00010715,HEALTH CHOICE INTERGRATED CARE LLC,AHCCCS,2018,GAXCMHCAPMMS18003058,562.5700,2,6,2018-02-14,2018-02-20,562.5700,low,unreviewed,medium
CH0009888,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001884625,16.1600,3,46,2021-03-11,2021-04-26,32.3200,low,unreviewed,medium
CH0139958,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002385481,362.6000,2,34,2022-07-08,2022-08-11,362.6000,low,unreviewed,medium
CH0139783,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002419723,47.1200,2,24,2022-08-22,2022-09-15,47.1200,low,unreviewed,medium
40540101,RETINAL CONSULT OF AZ,AHCCCS,2023,GAXNEHCAPMMS23011423,392.4900,2,61,2022-10-14,2022-12-14,392.4900,low,unreviewed,medium
40540101,RETINAL CONSULT OF AZ,AHCCCS,2023,GAXNEHCAPMMS23035749,61.6600,2,61,2022-10-14,2022-12-14,61.6600,low,unreviewed,medium
54818001,DESERT INST FOR SPINE CA,AHCCCS,2024,GAXCMHCAPMMS24001002,18.1000,2,59,2023-08-14,2023-10-12,18.1000,low,unreviewed,medium
00110306,MERCY CARE PLAN - LTC,AHCCCS,2024,GAXCMHCAPMMS24002534,11030.2400,2,7,2023-11-13,2023-11-20,11030.2400,low,unreviewed,medium
64195201,DESERT VALLEY PEDIATRICS,AHCCCS,2024,GAXCMHCAPMMS24002578,43.5600,2,8,2023-11-14,2023-11-22,43.5600,low,unreviewed,medium
37566101,NORTHERN AZ HEALTHCARE CO,AHCCCS,2024,GAXCMHCAPMMS24005210,99.3400,2,2,2024-04-15,2024-04-17,99.3400,low,unreviewed,medium
63032901,BANNER CANCER CENTER SPEC,AHCCCS,2025,GAXCMHCAPMMS25002433,651.6300,2,9,2024-11-18,2024-11-27,651.6300,low,unreviewed,medium
00010789,MERCY MARICOPA INTEGRATED CARE,AHCCCS,2021,GAXCMHCAPMMS20003928,1022.7300,2,6,2020-07-28,2020-08-03,1022.7300,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2021,GAXCMHCAPMMS21000676,2532.2400,2,4,2020-08-13,2020-08-17,2532.2400,low,unreviewed,medium
CH0111505,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001844234,145.1400,2,6,2021-02-19,2021-02-25,145.1400,low,unreviewed,medium
CH0061195,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001845581,52.5100,2,6,2021-02-10,2021-02-16,52.5100,low,unreviewed,medium
15365501,NORTHERN ARIZONA HPG LLC,AHCCCS,2023,GAXCMHCAPMMS23000801,79.8300,2,305,2022-08-29,2023-06-30,79.8300,low,unreviewed,medium
IV0000023819,CISCO SYSTEMS INC,AHCCCS,2023,GAXIV1HCAINV001049320,5574.2700,4,217,2022-11-23,2023-06-28,16722.8100,low,unreviewed,medium
0201231A,FLAGSTAFF MEDICAL CENTER,AHCCCS,2023,GAXCMHCAPMMS23003710,143.3800,2,109,2023-03-13,2023-06-30,143.3800,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2023,GAXCMHCAPMMS23003739,1099.5000,3,2,2023-03-15,2023-03-17,2199.0000,low,unreviewed,medium
54847901,MEDEX GROUP,AHCCCS,2023,GAXNEHCAPMMS23165665,47.2900,2,8,2023-06-13,2023-06-21,47.2900,low,unreviewed,medium
14676801,LEMACLINICLLC,AHCCCS,2023,GAXCMHCAPMMS23003769,72043.3400,2,101,2023-03-21,2023-06-30,72043.3400,low,unreviewed,medium
IV0000047962,VENTRAQ CORPORATION,CRIMINAL JUSTICE COMMISSION,2024,GAXJCAGJC24275,306.8700,2,8,2024-02-20,2024-02-28,306.8700,low,unreviewed,medium
10400001,SOUTHERN AZ ANESTHESIA SV,AHCCCS,2024,GAXCMHCAPMMS24003881,532.3100,2,9,2024-01-29,2024-02-07,532.3100,low,unreviewed,medium
00010254,"CARE 1ST HEALTH PLAN ARIZONA, INC.",AHCCCS,2024,GAXCMHCAPMMS24004388,704.1700,2,4,2024-02-22,2024-02-26,704.1700,low,unreviewed,medium
00010254,"CARE 1ST HEALTH PLAN ARIZONA, INC.",AHCCCS,2025,GAXCMHCAPRG250000016,687703.5100,2,1,2024-08-29,2024-08-30,687703.5100,medium,unreviewed,medium
50422201,DA VITA LABS,AHCCCS,2025,GAXCMHCAPMMS25000874,9.5700,2,2,2024-08-12,2024-08-14,9.5700,low,unreviewed,medium
CH0138405,NAME REDACTED,DEPT OF CHILD SAFETY,2025,GAXNECHAPY003187519,395.8800,2,28,2024-11-06,2024-12-04,395.8800,low,unreviewed,medium
76329501,"COMMUNITY BRIDGES, INC",AHCCCS,2025,GAXCMHCAPMMS25003695,33132.9500,2,58,2025-02-18,2025-04-17,33132.9500,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2025,GAXCMHCAPMMS25003653,3129.4400,2,5,2025-02-13,2025-02-18,3129.4400,low,unreviewed,medium
CH0116327,NAME REDACTED,DEPT OF CHILD SAFETY,2025,GAXNECHAPY003353919,202.8000,2,36,2025-05-07,2025-06-12,202.8000,low,unreviewed,medium
01901801,SCOTTSDALE DIALYSIS,AHCCCS,2021,GAXCMHCAPMMS21003894,217.2000,2,44,2021-03-29,2021-05-12,217.2000,low,unreviewed,medium
31802701,SAGUARO FAMILY PRACTICE,AHCCCS,2023,GAXCMHCAPMMS23000164,81.1000,2,8,2022-07-12,2022-07-20,81.1000,low,unreviewed,medium
00999448,"OPTUMRX PBM OF ILLINOIS, INC",AHCCCS,2023,GAXCMHCAPMMS23000143,1113069.6500,2,8,2022-07-12,2022-07-20,1113069.6500,high,unreviewed,medium
10400001,SOUTHERN AZ ANESTHESIA SV,AHCCCS,2023,GAXCMHCAPMMS23000134,18.0900,2,2,2022-07-12,2022-07-14,18.0900,low,unreviewed,medium
40540101,RETINAL CONSULT OF AZ,AHCCCS,2023,GAXCMHCAPMMS23001189,1498.0400,2,11,2022-09-26,2022-10-07,1498.0400,low,unreviewed,medium
CH0075613,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002411284,290.2800,2,70,2022-08-04,2022-10-13,290.2800,low,unreviewed,medium
CH0121922,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002623038,10.7200,2,5,2023-03-10,2023-03-15,10.7200,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2023,GAXCMHCAPMMS23003608,1807.5000,2,1,2023-03-07,2023-03-08,1807.5000,low,unreviewed,medium
00010422,HEALTH NET ACCESS INC,AHCCCS,2023,GAXCMHCAPMMS23003660,913.0700,2,4,2023-03-10,2023-03-14,913.0700,low,unreviewed,medium
08739801,TERIS HEALTH SERVICES,AHCCCS,2024,GAXNEHCAPMMS24000360,26.3100,2,7,2023-07-19,2023-07-26,26.3100,low,unreviewed,medium
CH0139064,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002745509,18.9600,2,33,2023-07-26,2023-08-28,18.9600,low,unreviewed,medium
VC0000011949,CHALLENGE SCHOOL INC,DEPT OF EDUCATION,2024,GAXEDA23250F220,1532.4800,2,49,2023-09-12,2023-10-31,1532.4800,low,unreviewed,medium
CH0147855,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002831402,20.1300,2,7,2023-10-11,2023-10-18,20.1300,low,unreviewed,medium
28438601,SCOTTSDALE HLTHCARE-THOMP,AHCCCS,2024,GAXCMHCAPMMS24001817,941.8800,2,21,2023-10-04,2023-10-25,941.8800,low,unreviewed,medium
07939701,SURGERY CENTER AT FLAGSTA,AHCCCS,2024,GAXNEHCAPMMS24109449,156.3800,2,50,2024-02-28,2024-04-18,156.3800,low,unreviewed,medium
03406702,"EBI, L.P.",AHCCCS,2025,GAXNEHCAPMMS25003374,357.9100,2,7,2024-07-10,2024-07-17,357.9100,low,unreviewed,medium
67769001,WESTERN PATHOLOGY ASSOC,AHCCCS,2025,GAXCMHCAPMMS25001476,7.6500,2,9,2024-09-16,2024-09-25,7.6500,low,unreviewed,medium
95186401,ST JOSEPHS WESTGATE MED,AHCCCS,2021,GAXCMHCAPMMS21001421,995.8800,2,2,2020-10-05,2020-10-07,995.8800,low,unreviewed,medium
CH0121888,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001851193,3.9100,2,7,2021-02-19,2021-02-26,3.9100,low,unreviewed,medium
CH0115769,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002387775,1.7600,2,6,2022-07-14,2022-07-20,1.7600,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2023,GAXCMHCAPMMS23001601,2467.1800,2,4,2022-10-20,2022-10-24,2467.1800,low,unreviewed,medium
CH0126646,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002476242,76.5700,2,3,2022-10-17,2022-10-20,76.5700,low,unreviewed,medium
MISCCUSTOM,NAME REDACTED,ATTORNEY GENERAL (DEPT OF LAW),2023,GAXAGA230000021129,66.3400,9,1,2023-03-06,2023-03-07,530.7200,low,unreviewed,medium
24216901,SCOTTSDALE HEALTHCARE COR,AHCCCS,2023,GAXCMHCAPMMS23002758,548.7400,3,5,2023-05-26,2023-05-31,1097.4800,low,unreviewed,medium
CH0147034,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002684690,1430.0000,2,7,2023-05-19,2023-05-26,1430.0000,low,unreviewed,medium
01010314,BANNER UNIVERSITY FAMILY CARE,AHCCCS,2024,GAXCMHCAPMMS24001392,203226.3200,2,5,2023-09-08,2023-09-13,203226.3200,medium,unreviewed,medium
00010254,"CARE 1ST HEALTH PLAN ARIZONA, INC.",AHCCCS,2025,GAXCMHCAPMMS25000323,503.7200,2,2,2024-07-16,2024-07-18,503.7200,low,unreviewed,medium
34214601,ARIZONA ARTHRITIS AND RHEUMATOLOGY ASSOCIATES PC,AHCCCS,2025,GAXCMHCAPMMS25004569,224.1200,2,2,2025-04-14,2025-04-16,224.1200,low,unreviewed,medium
PZ000054079,TELESOFT LLC,DEPT OF ECONOMIC SECURITY,2018,GAXDEA2N006784,40.5600,3,1,2018-03-05,2018-03-06,81.1200,low,unreviewed,medium
CH0090538,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001885242,7.5200,2,6,2021-03-10,2021-03-16,7.5200,low,unreviewed,medium
39493201,NATIVE AMERICAN COMM HLTH,AHCCCS,2023,GAXCMHCAPMMS23003866,57434.1600,2,15,2023-03-27,2023-04-11,57434.1600,low,unreviewed,medium
08681301,HONORHEALTH SONORAN CROSS,AHCCCS,2024,GAXCMHCAPMMS24001200,503.6300,2,10,2023-08-28,2023-09-07,503.6300,low,unreviewed,medium
00010422,HEALTH NET ACCESS INC,AHCCCS,2024,GAXCMHCAPMMS24005623,1056.7400,2,2,2024-05-13,2024-05-15,1056.7400,low,unreviewed,medium
GHOSTDEA0001,CENTRAL TRAVEL ACCOUNT (GHOST CARD) DEA,DEPT OF ECONOMIC SECURITY,2025,GAXDEA2A341335,34.5500,2,7,2024-10-24,2024-10-31,34.5500,low,unreviewed,medium
GHOSTSDA0001,CENTRAL TRAVEL ACCOUNT (GHOST CARD) SDA,SCHOOLS FOR THE DEAF AND THE BLIND,2025,GAXSDA250000008492,157.1500,6,7,2024-10-25,2024-11-01,785.7500,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2021,GAXCMHCAPMMS21000494,2392.0400,2,2,2020-08-03,2020-08-05,2392.0400,low,unreviewed,medium
00010789,MERCY MARICOPA INTEGRATED CARE,AHCCCS,2021,GAXCMHCAPMMS20004316,681.3100,2,6,2020-07-28,2020-08-03,681.3100,low,unreviewed,medium
00010500,"MAGELLAN COMPLETE CARE OF ARIZONA, INC",AHCCCS,2021,GAXCMHCAPMMS21001545,20.7800,2,2,2020-10-13,2020-10-15,20.7800,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2021,GAXCMHCAPMMS21001546,224.2500,2,2,2020-10-13,2020-10-15,224.2500,low,unreviewed,medium
CH0135755,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001942940,929.8800,2,6,2021-05-28,2021-06-03,929.8800,low,unreviewed,medium
CH0131087,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001948472,46.8200,2,4,2021-06-07,2021-06-11,46.8200,low,unreviewed,medium
08649701,BANNER UNIVERSITY PHYSICI,AHCCCS,2023,GAXCMHCAPMMS23001013,172.0200,2,2,2022-09-12,2022-09-14,172.0200,low,unreviewed,medium
40540101,RETINAL CONSULT OF AZ,AHCCCS,2023,GAXNEHCAPMMS23028656,3024.7800,2,61,2022-10-14,2022-12-14,3024.7800,low,unreviewed,medium
40540101,RETINAL CONSULT OF AZ,AHCCCS,2023,GAXNEHCAPMMS23037612,85.1700,2,61,2022-10-14,2022-12-14,85.1700,low,unreviewed,medium
61667202,VALLEY HOSPITAL,AHCCCS,2024,GAXCMHCAPMMS24000112,1178.3000,2,7,2023-07-13,2023-07-20,1178.3000,low,unreviewed,medium
CH0144223,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002744708,335.2800,2,39,2023-07-20,2023-08-28,335.2800,low,unreviewed,medium
00010422,HEALTH NET ACCESS INC,AHCCCS,2024,GAXCMHCAPMMS24001779,193.8800,2,4,2023-09-28,2023-10-02,193.8800,low,unreviewed,medium
00010254,"CARE 1ST HEALTH PLAN ARIZONA, INC.",AHCCCS,2024,GAXCMHCAPMMS24006057,4240.1500,2,2,2024-06-10,2024-06-12,4240.1500,low,unreviewed,medium
63800701,STEP BY STEP PEDIATRICS,AHCCCS,2025,GAXNEHCAPMMS25083871,1.6500,2,7,2025-01-08,2025-01-15,1.6500,low,unreviewed,medium
00010145,ARIZONA PHYSICIANS IPA/UHC-CRS PA,AHCCCS,2018,GAXCMHCAPMMS18001306,138.6600,2,7,2017-10-04,2017-10-11,138.6600,low,unreviewed,medium
00010715,HEALTH CHOICE INTERGRATED CARE LLC,AHCCCS,2018,GAXCMHCAPMMS18000200,921.2400,2,2,2017-07-17,2017-07-19,921.2400,low,unreviewed,medium
08535001,APACHE HEALTH LLC,AHCCCS,2021,GAXNEHCAPMMS21123945,6270.6800,2,54,2021-04-14,2021-06-07,6270.6800,low,unreviewed,medium
15365501,NORTHERN ARIZONA HPG LLC,AHCCCS,2023,GAXCMHCAPMMS23000754,43.4500,2,305,2022-08-29,2023-06-30,43.4500,low,unreviewed,medium
25462201,TEAM PHYSICIANS OF NORTHE,AHCCCS,2023,GAXCMHCAPMMS23005315,1.2700,2,11,2023-06-19,2023-06-30,1.2700,low,unreviewed,medium
54847901,MEDEX GROUP,AHCCCS,2023,GAXNEHCAPMMS23120723,75.2900,2,8,2023-06-13,2023-06-21,75.2900,low,unreviewed,medium
CH0148261,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002862872,813.4800,2,38,2023-11-27,2024-01-04,813.4800,low,unreviewed,medium
CH0102118,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002858110,23.3200,2,7,2023-11-07,2023-11-14,23.3200,low,unreviewed,medium
00010158,"ARIZONA PHYSICIANS IPA, INC.",AHCCCS,2025,GAXCMHCAPMMS25001767,1402.4500,2,4,2024-10-03,2024-10-07,1402.4500,low,unreviewed,medium
15333201,ELEVATION SURGERY CENTER,AHCCCS,2025,GAXCMHCAPMMS25002505,2236.4400,2,9,2024-11-25,2024-12-04,2236.4400,low,unreviewed,medium
00592401,HAND UP GUIDING SERVICES,AHCCCS,2025,GAXCMHCAPMMS25003761,4945.5600,2,58,2025-02-24,2025-04-23,4945.5600,low,unreviewed,medium
01010422,"BRIDGEWAY HEALTH SOLUTIONS OF ARIZONA, INC.",AHCCCS,2025,GAXCMHCAPMMS25003803,260.1800,2,2,2025-02-24,2025-02-26,260.1800,low,unreviewed,medium
PZ000034143,AZ CENTER FOR THE BLIND AND VISUALLY IMPAIRED INC,DEPT OF ECONOMIC SECURITY,2018,PRCPZ1DEAPR0000636736,2009.2100,2,30,2017-09-11,2017-10-11,2009.2100,low,unreviewed,medium
00010166,DCS/CMDP,AHCCCS,2018,GAXCMHCAPMMS18000370,32.6800,2,4,2017-07-28,2017-08-01,32.6800,low,unreviewed,medium
CH0073883,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001882282,28.5600,2,7,2021-03-08,2021-03-15,28.5600,low,unreviewed,medium
23251201,SMITH/DEAN F.,AHCCCS,2021,GAXNEHCAPMMS21108115,21.2700,2,7,2021-03-10,2021-03-17,21.2700,low,unreviewed,medium
CH0135357,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001970145,11.2300,2,4,2021-06-21,2021-06-25,11.2300,low,unreviewed,medium
00010497,STEWARD HEALTH CHOICE ARIZONA INC,AHCCCS,2021,GAXCMHCAPMMS21004908,24716.8000,2,2,2021-06-14,2021-06-16,24716.8000,low,unreviewed,medium
CH0130053,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001852995,31.6200,4,111,2021-03-04,2021-06-23,94.8600,low,unreviewed,medium
00010422,HEALTH NET ACCESS INC,AHCCCS,2023,GAXCMHCAPMMS23002261,573.4000,2,2,2022-12-05,2022-12-07,573.4000,low,unreviewed,medium
10285701,STEPPING STONE TREATMENT,AHCCCS,2023,GAXNEHCAPMMS23077178,49556.3000,2,6,2022-12-07,2022-12-13,49556.3000,low,unreviewed,medium
00190017,NAVAJO NATION,AHCCCS,2023,GAXCMHCAPMMS23004572,3.3500,2,44,2023-05-17,2023-06-30,3.3500,low,unreviewed,medium
01110313,BANNER UNIVERSITY CARE ADVANTAGE,AHCCCS,2023,GAXCMHCAPMMS23004654,589.0900,2,2,2023-05-23,2023-05-25,589.0900,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2025,GAXCMHCAPMMS25003292,5320.6600,2,5,2025-01-17,2025-01-22,5320.6600,low,unreviewed,medium
08330001,VERACITY HEALTH SOLUTIONS,AHCCCS,2025,GAXNEHCAPMMS24017560,18.8200,3,12,2025-06-06,2025-06-18,37.6400,low,unreviewed,medium
15403701,NORTHWEST ALLIED PHYSICIA,AHCCCS,2021,GAXCMHCAPMMS21004726,60.1600,2,8,2021-06-01,2021-06-09,60.1600,low,unreviewed,medium
CH0142355,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002594212,10.2000,2,7,2023-02-14,2023-02-21,10.2000,low,unreviewed,medium
00010254,"CARE 1ST HEALTH PLAN ARIZONA, INC.",AHCCCS,2024,GAXCMHCAPMMS24002514,2207.7100,2,2,2023-11-13,2023-11-15,2207.7100,low,unreviewed,medium
00010306,MERCY CARE,AHCCCS,2025,GAXCMHCAPMMS25001404,2813.6700,2,2,2024-09-11,2024-09-13,2813.6700,low,unreviewed,medium
3345821A,HU HU KAM MEMORIAL HOSP,AHCCCS,2018,GAXCMHCAPMMS18001594,51019.8300,2,16,2017-10-30,2017-11-15,51019.8300,low,unreviewed,medium
