agency,fiscal_year,hv_txn,hv_exposure,n_tier1,usd_tier1,n_tier12,usd_tier12,tier12_pct_of_hv,avg_risk_score
EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,2021,222,80824964,0,,21,6132913,7.59,0.728
EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,2022,221,86449408,0,,17,5492063,6.35,0.636
EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,2023,282,155036705,0,,23,32141998,20.73,0.74
EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,2024,322,214999688,4,34716341,26,40613841,18.89,0.744
EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,2025,224,94945591,0,,23,5648046,5.95,0.675
EXPOSITION AND STATE FAIR BOARD,2016,23,4278110,0,,8,860000,20.1,5.165
EXPOSITION AND STATE FAIR BOARD,2017,20,3308903,0,,4,415000,12.54,3.335
EXPOSITION AND STATE FAIR BOARD,2018,28,4860795,0,,3,315000,6.48,2.15
EXPOSITION AND STATE FAIR BOARD,2019,25,4678029,0,,0,,,0.84
EXPOSITION AND STATE FAIR BOARD,2020,41,7992332,0,,0,,,1.51
EXPOSITION AND STATE FAIR BOARD,2021,1,221277,0,,0,,,0.0
EXPOSITION AND STATE FAIR BOARD,2022,23,6249236,0,,1,100000,1.6,1.839
EXPOSITION AND STATE FAIR BOARD,2023,55,18486227,0,,1,1309242,7.08,2.036
EXPOSITION AND STATE FAIR BOARD,2024,56,17295832,0,,0,,,0.989
EXPOSITION AND STATE FAIR BOARD,2025,58,12339648,0,,0,,,0.921
GAME AND FISH DEPARTMENT,2016,63,18536647,0,,4,921793,4.97,0.989
GAME AND FISH DEPARTMENT,2017,95,32192964,0,,6,896026,2.78,1.172
GAME AND FISH DEPARTMENT,2018,60,20759496,2,3147159,6,4810309,23.17,1.53
GAME AND FISH DEPARTMENT,2019,96,44471475,0,,4,2015120,4.53,0.965
GAME AND FISH DEPARTMENT,2020,91,32259631,1,1855000,8,12738730,39.49,0.919
GAME AND FISH DEPARTMENT,2021,63,31027259,0,,5,2124573,6.85,1.229
GAME AND FISH DEPARTMENT,2022,71,50397249,1,2000000,8,4368865,8.67,2.017
GAME AND FISH DEPARTMENT,2023,115,36008749,0,,6,1081776,3.0,1.722
GAME AND FISH DEPARTMENT,2024,116,31033627,0,,9,1664760,5.36,1.825
GAME AND FISH DEPARTMENT,2025,106,28617291,0,,13,2708444,9.46,2.029
GEOLOGICAL SURVEY,2016,1,165300,0,,0,,,5.6
GEOLOGICAL SURVEY,2017,2,324533,0,,0,,,0.0
GOVERNOR'S OFFICE,2016,57,20991090,0,,1,461881,2.2,0.4
GOVERNOR'S OFFICE,2017,63,10941408,0,,3,499406,4.56,0.711
GOVERNOR'S OFFICE,2018,56,19468110,0,,3,426856,2.19,0.8
GOVERNOR'S OFFICE,2019,49,11540201,0,,3,1000000,8.67,0.853
GOVERNOR'S OFFICE,2020,124,756384600,0,,5,1344689,0.18,0.456
GOVERNOR'S OFFICE,2021,601,1142450107,0,,1,103704,0.01,0.112
GOVERNOR'S OFFICE,2022,530,3006863669,1,1127089,8,3750025,0.12,0.329
GOVERNOR'S OFFICE,2023,554,584623549,1,2686429,3,3111147,0.53,0.261
GOVERNOR'S OFFICE,2024,685,470652511,0,,5,1257707,0.27,0.149
GOVERNOR'S OFFICE,2025,676,486973330,1,2542922,8,4010597,0.82,0.144
GOVERNOR'S OFFICE OF HIGHWAY SAFETY,2016,6,947150,0,,0,,,0.0
GOVERNOR'S OFFICE OF HIGHWAY SAFETY,2017,6,741891,0,,0,,,0.0
GOVERNOR'S OFFICE OF HIGHWAY SAFETY,2018,8,1497413,0,,0,,,0.0
GOVERNOR'S OFFICE OF HIGHWAY SAFETY,2019,5,640600,0,,0,,,0.0
GOVERNOR'S OFFICE OF HIGHWAY SAFETY,2020,3,346670,0,,0,,,0.0
GOVERNOR'S OFFICE OF HIGHWAY SAFETY,2021,3,630655,0,,0,,,0.0
GOVERNOR'S OFFICE OF HIGHWAY SAFETY,2022,11,1801424,0,,2,200000,11.1,2.164
GOVERNOR'S OFFICE OF HIGHWAY SAFETY,2023,17,2482305,0,,0,,,0.0
GOVERNOR'S OFFICE OF HIGHWAY SAFETY,2024,3,544687,0,,0,,,0.0
GOVERNOR'S OFFICE OF HIGHWAY SAFETY,2025,6,686514,0,,0,,,0.0
HOUSE OF REPRESENTATIVES,2016,2,345501,0,,0,,,2.1
HOUSE OF REPRESENTATIVES,2017,1,145513,0,,0,,,0.0
HOUSE OF REPRESENTATIVES,2019,1,171041,0,,0,,,0.0
HOUSE OF REPRESENTATIVES,2020,1,106900,0,,0,,,5.6
HOUSE OF REPRESENTATIVES,2021,1,106900,0,,0,,,5.6
HOUSE OF REPRESENTATIVES,2022,2,746177,0,,0,,,0.0
HOUSE OF REPRESENTATIVES,2023,13,4756519,0,,0,,,2.292
HOUSE OF REPRESENTATIVES,2024,20,3129428,0,,0,,,0.98
HOUSE OF REPRESENTATIVES,2025,19,3501515,0,,0,,,1.195
INDEPENDENT REDISTRICTING COMMISSION,2017,1,103907,0,,1,103907,100.0,6.0
INDEPENDENT REDISTRICTING COMMISSION,2021,2,224262,0,,2,224262,100.0,6.0
INDEPENDENT REDISTRICTING COMMISSION,2022,17,3229427,0,,8,1969732,60.99,5.912
INDEPENDENT REDISTRICTING COMMISSION,2023,2,217114,0,,0,,,4.5
INDEPENDENT REDISTRICTING COMMISSION,2024,1,203000,0,,0,,,0.0
INDUSTRIAL COMMISSION,2016,19,7464216,1,3322187,2,3437650,46.06,3.705
INDUSTRIAL COMMISSION,2017,15,2256733,0,,2,277094,12.28,2.953
INDUSTRIAL COMMISSION,2018,21,3772649,0,,4,420347,11.14,3.962
INDUSTRIAL COMMISSION,2019,12,8704219,0,,0,,,2.567
INDUSTRIAL COMMISSION,2020,10,1299814,0,,0,,,2.94
INDUSTRIAL COMMISSION,2021,24,4180667,0,,10,2002867,47.91,4.6
INDUSTRIAL COMMISSION,2022,25,4341978,0,,11,1482428,34.14,4.656
INDUSTRIAL COMMISSION,2023,25,5908067,0,,1,311764,5.28,2.66
INDUSTRIAL COMMISSION,2024,56,26825686,1,1001335,3,1810496,6.75,1.414
INDUSTRIAL COMMISSION,2025,31,10280706,0,,3,474850,4.62,1.942
JOINT LEGISLATIVE BUDGET COMMITTEE,2024,1,107071,0,,0,,,0.0
JOINT LEGISLATIVE BUDGET COMMITTEE,2025,1,204600,0,,0,,,0.0
LAND DEPARTMENT,2016,12,6063148,0,,6,1820600,30.03,6.942
LAND DEPARTMENT,2017,13,6828078,0,,3,1096350,16.06,5.369
LAND DEPARTMENT,2018,16,5234741,0,,9,2227557,42.55,6.35
LAND DEPARTMENT,2019,17,6262807,0,,5,1000307,15.97,3.512
LAND DEPARTMENT,2020,19,7607422,0,,6,2924352,38.44,2.589
LAND DEPARTMENT,2021,21,7972370,0,,10,4749938,59.58,5.605
LAND DEPARTMENT,2022,22,8616400,1,1008760,14,6850654,79.51,5.005
LAND DEPARTMENT,2023,15,6959873,0,,8,3595146,51.66,5.54
LAND DEPARTMENT,2024,16,40190620,0,,8,3649578,9.08,4.6
LAND DEPARTMENT,2025,17,14098254,1,7000000,10,10815098,76.71,6.9
LEGISLATIVE COUNCIL,2016,7,1116474,0,,0,,,1.2
LEGISLATIVE COUNCIL,2017,10,1365909,0,,0,,,0.84
LEGISLATIVE COUNCIL,2018,11,1487773,0,,0,,,0.764
LEGISLATIVE COUNCIL,2019,13,1600018,0,,0,,,0.0
LEGISLATIVE COUNCIL,2020,13,1647293,0,,0,,,0.323
LEGISLATIVE COUNCIL,2021,20,2582988,0,,0,,,0.21
LEGISLATIVE COUNCIL,2022,20,3462010,0,,0,,,0.21
LEGISLATIVE COUNCIL,2023,32,5625234,0,,0,,,0.328
LEGISLATIVE COUNCIL,2024,31,5723137,0,,0,,,0.135
LEGISLATIVE COUNCIL,2025,38,12228461,0,,3,3899216,31.89,1.732
LOTTERY COMMISSION,2016,408,435694035,0,,10,80356252,18.44,1.492
LOTTERY COMMISSION,2017,471,376370488,0,,10,48640086,12.92,1.525
LOTTERY COMMISSION,2018,639,505047368,0,,18,55366092,10.96,1.435
LOTTERY COMMISSION,2019,616,471040756,2,9000000,20,69916999,14.84,1.691
LOTTERY COMMISSION,2020,640,784069712,0,,12,65127724,8.31,1.632
LOTTERY COMMISSION,2021,615,557996327,1,7167600,18,81088977,14.53,1.919
LOTTERY COMMISSION,2022,623,936964379,1,7500000,15,82053339,8.76,2.108
LOTTERY COMMISSION,2023,652,646578726,0,,30,88112756,13.63,2.588
LOTTERY COMMISSION,2024,661,703527068,0,,25,82900433,11.78,2.08
LOTTERY COMMISSION,2025,643,679017305,0,,27,75018589,11.05,2.1
MEDICAL BOARD,2016,7,963277,0,,5,662500,68.78,5.086
MEDICAL BOARD,2017,5,699200,0,,4,499200,71.4,5.92
MEDICAL BOARD,2018,6,784000,0,,4,478100,60.98,4.933
MEDICAL BOARD,2019,5,704648,0,,4,520048,73.8,5.92
MEDICAL BOARD,2020,8,1337164,0,,4,607600,45.44,3.7
MEDICAL BOARD,2021,5,782155,0,,4,570755,72.97,5.92
MEDICAL BOARD,2022,7,1182929,0,,4,624500,52.79,4.229
MEDICAL BOARD,2023,6,874114,0,,4,555400,63.54,4.933
MEDICAL BOARD,2024,6,10123300,0,,4,611000,6.04,4.933
MEDICAL BOARD,2025,6,856507,0,,4,524000,61.18,5.633
MINE INSPECTOR,2016,1,222876,0,,0,,,0.0
MINE INSPECTOR,2020,1,102600,0,,0,,,5.6
MINE INSPECTOR,2022,1,102600,0,,0,,,5.6
MINE INSPECTOR,2023,1,101900,0,,0,,,5.6
MINE INSPECTOR,2024,1,101900,0,,0,,,5.6
MINE INSPECTOR,2025,1,121000,0,,0,,,5.6
NATUROPATHIC PHYSICIANS MEDICAL BOARD,2024,1,1700000,0,,0,,,0.0
NAVIGABLE STREAM ADJUDICATION COMMISSION,2022,1,129952,0,,1,129952,100.0,6.0
NORTHERN ARIZONA UNIVERSITY,2016,78,279469382,0,,0,,,0.646
NORTHERN ARIZONA UNIVERSITY,2017,69,248028800,0,,0,,,0.0
NORTHERN ARIZONA UNIVERSITY,2018,89,265926600,0,,0,,,0.0
NORTHERN ARIZONA UNIVERSITY,2019,95,111757026,0,,0,,,0.0
NORTHERN ARIZONA UNIVERSITY,2020,94,116750900,0,,0,,,0.0
NORTHERN ARIZONA UNIVERSITY,2021,84,132304300,0,,0,,,0.0
NORTHERN ARIZONA UNIVERSITY,2022,85,137641600,0,,0,,,0.0
NORTHERN ARIZONA UNIVERSITY,2023,94,165861138,0,,0,,,0.0
NORTHERN ARIZONA UNIVERSITY,2024,84,138925500,0,,0,,,0.0
NORTHERN ARIZONA UNIVERSITY,2025,84,134294400,0,,0,,,0.0
OFFICE OF ECONOMIC OPPORTUNITY,2018,9,9693890,2,2138940,7,4443290,45.84,7.956
OFFICE OF ECONOMIC OPPORTUNITY,2019,4,3223756,0,,1,460705,14.29,3.15
OFFICE OF ECONOMIC OPPORTUNITY,2020,4,1282757,0,,0,,,2.8
OFFICE OF ECONOMIC OPPORTUNITY,2021,10,3948620,1,1099579,9,3843285,97.33,7.32
OFFICE OF ECONOMIC OPPORTUNITY,2022,11,4433312,2,2480700,8,3952158,89.15,6.955
OFFICE OF ECONOMIC OPPORTUNITY,2023,36,10267875,0,,22,6164748,60.04,6.011
OFFICE OF ECONOMIC OPPORTUNITY,2024,40,22190336,2,2676681,18,6493618,29.26,4.013
OFFICE OF ECONOMIC OPPORTUNITY,2025,43,15188596,1,5461371,17,9530356,62.75,4.221
OFFICE OF TOURISM,2016,49,18278229,0,,9,2339296,12.8,2.841
OFFICE OF TOURISM,2017,49,19576747,0,,7,1213020,6.2,2.624
OFFICE OF TOURISM,2018,50,20122582,0,,1,228555,1.14,2.274
OFFICE OF TOURISM,2019,60,22650152,0,,0,,,0.733
OFFICE OF TOURISM,2020,55,24035143,0,,0,,,0.658
OFFICE OF TOURISM,2021,54,25866372,0,,13,5378537,20.79,3.857
OFFICE OF TOURISM,2022,98,31597841,0,,10,3027150,9.58,1.514
OFFICE OF TOURISM,2023,130,46622408,3,3677985,39,15558332,33.37,3.988
OFFICE OF TOURISM,2024,80,33813130,1,1000000,18,6867215,20.31,2.709
OFFICE OF TOURISM,2025,100,36054819,0,,17,5827828,16.16,2.641
PARENTS COMMISSION DRUG EDU,2016,11,4500000,0,,0,,,0.0
PARENTS COMMISSION DRUG EDU,2017,9,3933058,0,,0,,,0.0
PARENTS COMMISSION DRUG EDU,2018,8,5026607,0,,0,,,0.0
PARENTS COMMISSION DRUG EDU,2019,8,4600000,0,,0,,,0.0
PARENTS COMMISSION DRUG EDU,2020,8,5167905,0,,0,,,0.0
PARENTS COMMISSION DRUG EDU,2021,6,5150000,0,,0,,,0.0
PARENTS COMMISSION DRUG EDU,2022,7,4400000,0,,0,,,0.0
PARENTS COMMISSION DRUG EDU,2023,8,5170000,0,,0,,,0.0
PARENTS COMMISSION DRUG EDU,2024,8,5480000,0,,0,,,0.0
PARENTS COMMISSION DRUG EDU,2025,10,6166084,0,,0,,,0.0
PARKS BOARD,2016,35,11501823,0,,1,104297,0.91,1.863
PARKS BOARD,2017,32,6426583,0,,6,805843,12.54,4.037
PARKS BOARD,2018,42,8520949,0,,11,1354043,15.89,3.055
PARKS BOARD,2019,37,7622416,0,,2,1838612,24.12,3.397
PARKS BOARD,2020,45,14038004,0,,1,1000000,7.12,3.342
PARKS BOARD,2021,33,8897245,0,,2,366595,4.12,3.321
PARKS BOARD,2022,83,36436545,0,,1,1355011,3.72,1.386
PARKS BOARD,2023,60,21378347,0,,0,,,1.125
PARKS BOARD,2024,137,89656708,1,6018628,3,9359099,10.44,1.853
PARKS BOARD,2025,123,29889177,0,,3,2891233,9.67,1.589
PERSONNEL BOARD,2016,1,522963,0,,0,,,0.0
PERSONNEL BOARD,2017,2,419806,0,,0,,,0.0
PERSONNEL BOARD,2019,1,193547,0,,0,,,0.0
PERSONNEL BOARD,2020,2,359077,0,,0,,,0.0
PERSONNEL BOARD,2021,2,372474,0,,0,,,0.0
PERSONNEL BOARD,2022,2,426092,0,,0,,,0.0
PERSONNEL BOARD,2023,2,451491,0,,0,,,0.0
PERSONNEL BOARD,2024,3,644984,0,,0,,,0.0
PERSONNEL BOARD,2025,2,381149,0,,0,,,0.0
PIONEERS' HOME,2016,24,2528893,0,,0,,,0.0
PIONEERS' HOME,2017,9,1003965,0,,0,,,0.0
PIONEERS' HOME,2019,2,700667,0,,0,,,0.0
PIONEERS' HOME,2020,2,593941,0,,0,,,0.0
PIONEERS' HOME,2021,6,743251,0,,0,,,0.0
PIONEERS' HOME,2022,29,3622432,0,,0,,,0.0
PIONEERS' HOME,2023,27,3801455,0,,0,,,0.0
PIONEERS' HOME,2024,33,5428657,0,,0,,,0.288
PIONEERS' HOME,2025,28,4375853,0,,0,,,0.2
PRESCOTT HISTORICAL SOCIETY,2024,1,183741,0,,0,,,5.6
PRESCOTT HISTORICAL SOCIETY,2025,1,185412,0,,0,,,5.6
PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,2016,29,14579891,0,,0,,,0.0
PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,2017,29,14759246,0,,0,,,0.0
PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,2018,28,10220086,0,,0,,,0.0
PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,2019,28,11682118,0,,0,,,0.0
PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,2020,28,10510831,0,,0,,,0.0
PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,2021,42,1012020882,0,,0,,,0.8
PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,2022,49,1165971128,0,,0,,,1.257
PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,2023,30,73553443,0,,0,,,0.0
