agency,fiscal_year,hv_txn,hv_exposure,n_tier1,usd_tier1,n_tier12,usd_tier12,tier12_pct_of_hv,avg_risk_score
SECRETARY OF STATE (DEPT OF STATE),2019,24,8945034,1,1444574,3,3253937,36.38,3.013
SECRETARY OF STATE (DEPT OF STATE),2020,38,8531805,0,,6,2641554,30.96,1.489
SECRETARY OF STATE (DEPT OF STATE),2021,36,18237202,2,3469836,10,4806362,26.35,2.725
SECRETARY OF STATE (DEPT OF STATE),2022,23,5864343,0,,5,2362203,40.28,3.478
SECRETARY OF STATE (DEPT OF STATE),2023,25,8678737,2,2271155,3,3887156,44.79,2.476
SECRETARY OF STATE (DEPT OF STATE),2024,37,12146893,0,,5,2893991,23.82,2.738
SECRETARY OF STATE (DEPT OF STATE),2025,40,11717551,1,2381435,6,4152818,35.44,2.173
SENATE,2016,2,360041,0,,1,140829,39.11,3.0
SENATE,2017,1,281665,0,,0,,,5.6
SENATE,2022,3,936783,0,,0,,,1.867
SENATE,2023,13,5828464,1,1500000,1,1500000,25.74,4.538
SENATE,2024,1,184900,0,,0,,,5.6
SENATE,2025,1,184900,0,,0,,,5.6
STATE TREASURER,2016,18,23003612,0,,2,2523400,10.97,2.294
STATE TREASURER,2017,73,99464862,0,,1,2230353,2.24,0.729
STATE TREASURER,2018,73,96765793,0,,1,454935,0.47,1.17
STATE TREASURER,2019,59,111356486,0,,3,8870283,7.97,0.902
STATE TREASURER,2020,77,158443875,0,,2,9441490,5.96,1.273
STATE TREASURER,2021,72,129394361,0,,1,110000,0.09,0.729
STATE TREASURER,2022,99,140020481,0,,8,6348343,4.53,0.758
STATE TREASURER,2023,67,115020606,0,,1,1556124,1.35,0.458
STATE TREASURER,2024,191,301826633,0,,5,1181946,0.39,0.443
STATE TREASURER,2025,128,149977561,0,,3,2932287,1.96,0.626
STATEWIDE SYSTEMS PROCESSING,2016,123,208515745,0,,0,,,0.023
STATEWIDE SYSTEMS PROCESSING,2017,147,320107991,0,,0,,,0.095
STATEWIDE SYSTEMS PROCESSING,2018,134,274765794,0,,1,1212398,0.44,0.063
STATEWIDE SYSTEMS PROCESSING,2019,151,582479666,0,,0,,,0.056
STATEWIDE SYSTEMS PROCESSING,2020,231,708489663,0,,0,,,0.055
STATEWIDE SYSTEMS PROCESSING,2021,143,499059346,0,,0,,,0.039
STATEWIDE SYSTEMS PROCESSING,2022,169,193587997,0,,0,,,0.033
STATEWIDE SYSTEMS PROCESSING,2023,151,223300164,0,,0,,,0.056
STATEWIDE SYSTEMS PROCESSING,2024,168,204292211,0,,0,,,0.117
STATEWIDE SYSTEMS PROCESSING,2025,140,152375695,0,,0,,,0.08
SUPREME COURT,2016,415,131287387,0,,5,4631834,3.53,1.033
SUPREME COURT,2017,448,137729785,0,,3,4328342,3.14,0.809
SUPREME COURT,2018,441,134907609,0,,1,1694800,1.26,0.819
SUPREME COURT,2019,462,136881798,0,,3,5180913,3.78,0.745
SUPREME COURT,2020,478,152160326,0,,2,4288135,2.82,0.562
SUPREME COURT,2021,481,161510982,0,,3,4893289,3.03,0.645
SUPREME COURT,2022,501,163514951,0,,4,5186451,3.17,0.822
SUPREME COURT,2023,587,204138131,0,,5,7634571,3.74,0.764
SUPREME COURT,2024,588,201555450,0,,9,7967079,3.95,0.997
SUPREME COURT,2025,592,202494453,0,,20,11607067,5.73,1.186
UNIVERSITY OF ARIZONA,2016,180,839618962,0,,0,,,0.529
UNIVERSITY OF ARIZONA,2017,170,707601197,0,,0,,,0.148
UNIVERSITY OF ARIZONA,2018,175,714026570,0,,0,,,0.0
UNIVERSITY OF ARIZONA,2019,149,277320890,0,,0,,,0.0
UNIVERSITY OF ARIZONA,2020,149,292669840,0,,0,,,0.0
UNIVERSITY OF ARIZONA,2021,143,329821156,0,,0,,,0.0
UNIVERSITY OF ARIZONA,2022,152,334093231,0,,0,,,0.0
UNIVERSITY OF ARIZONA,2023,189,377221197,0,,0,,,0.0
UNIVERSITY OF ARIZONA,2024,209,380550468,0,,0,,,0.0
UNIVERSITY OF ARIZONA,2025,184,371687672,0,,0,,,0.0
VETERINARY MEDICAL EXAMINING BOARD,2024,1,1700000,0,,0,,,0.0
WATER INFRASTRUCTURE FINANCE AUTHORITY,2016,137,485717919,0,,0,,,0.061
WATER INFRASTRUCTURE FINANCE AUTHORITY,2017,4,1418424,0,,0,,,0.0
WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA,2023,17,20383026,0,,0,,,0.0
WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA,2024,179,550609005,0,,0,,,0.0
WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA,2025,254,124945559,0,,0,,,0.018
WEIGHTS AND MEASURES,2016,9,1521332,0,,0,,,0.0
