agency,cabinet,hv_txn,hv_exposure,n_tier1,usd_tier1,n_tier2,usd_tier2,n_tier3,n_flagged,tier12_exposure,tier12_pct_of_hv,avg_risk_score,max_risk_score,distinct_flagged_vendors,top_markers
DEPT OF JUVENILE CORRECTIONS,PROTECTION AND SAFETY,695,177118287,0,,8,7241104,138,146,7241104,4.09,0.68,6.0,2,manual_rail|manual_rail_disc|whole_dollar|offcontract
COMMISSION ON THE ARTS,EDUCATION,18,12808121,0,,0,,2,2,,,0.233,2.1,0,manual_rail
BOARD OF PHARMACY,INSPECTION AND REGULATION,37,20844735,0,,2,725000,13,15,725000,3.48,2.497,11.2,2,manual_rail_disc|sole_source|whole_dollar|round_100k
AUTOMOBILE THEFT AUTHORITY,PROTECTION AND SAFETY,21,19162500,0,,0,,0,0,,,0.0,0.0,0,
RADIATION REGULATORY AGENCY,INSPECTION AND REGULATION,10,1861668,0,,0,,2,2,,,0.84,4.8,1,manual_rail_disc|whole_dollar
JOINT LEGISLATIVE BUDGET COMMITTEE,GENERAL GOVERNMENT,2,311671,0,,0,,0,0,,,0.0,0.0,0,
ARIZONA COMMERCE AUTHORITY,INSPECTION AND REGULATION,291,529102208,0,,6,13000000,2,8,13000000,2.46,0.125,5.6,1,june_round|manual_rail_disc|true_duplicate
VETERINARY MEDICAL EXAMINING BOARD,INSPECTION AND REGULATION,1,1700000,0,,0,,0,0,,,0.0,0.0,0,
BOARD OF PHYSICAL THERAPY,INSPECTION AND REGULATION,1,680000,0,,0,,0,0,,,0.0,0.0,0,
BOARD OF EDUCATION,EDUCATION,13,2268792,0,,7,1623250,6,13,1623250,71.55,5.546,6.0,0,manual_rail_disc|manual_rail
EXPOSITION AND STATE FAIR BOARD,GENERAL GOVERNMENT,307,73461154,0,,16,2899242,84,100,2899242,3.95,1.79,13.5,32,whole_dollar|manual_rail_disc|round_100k|offcontract|true_duplicate
DEPT OF GAMING,INSPECTION AND REGULATION,363,708589110,0,,11,2752918,75,86,2752918,0.39,1.125,12.0,7,offcontract|manual_rail_disc|true_duplicate|whole_dollar|manual_rail
REGISTRAR OF CONTRACTORS,INSPECTION AND REGULATION,136,22525332,0,,2,357591,17,19,357591,1.59,0.691,6.0,1,manual_rail_disc|whole_dollar|offcontract|masked_payee|manual_rail
DEPT OF INSURANCE AND FINANCIAL INSTITUTIONS,INSPECTION AND REGULATION,43,50737516,0,,1,124400,6,7,124400,0.25,0.693,6.0,1,manual_rail_disc|manual_rail|offcontract
BARBERING AND COSMETOLOGY BOARD,INSPECTION AND REGULATION,5,13022721,0,,0,,2,2,,,1.54,5.6,0,manual_rail_disc|manual_rail
BOARD FOR CHARTER SCHOOLS,EDUCATION,3,308300,0,,0,,3,3,,,5.6,5.6,0,manual_rail_disc
BOARD OF DENTAL EXAMINERS,INSPECTION AND REGULATION,1,2000000,0,,0,,0,0,,,0.0,0.0,0,
BOARD OF OCCUPATIONAL THERAPY EXAMINERS,INSPECTION AND REGULATION,1,900000,0,,0,,0,0,,,0.0,0.0,0,
NATUROPATHIC PHYSICIANS MEDICAL BOARD,INSPECTION AND REGULATION,1,1700000,0,,0,,0,0,,,0.0,0.0,0,
DEPT OF FINANCIAL INSTITUTIONS,INSPECTION AND REGULATION,17,10607392,0,,1,100000,5,6,100000,0.94,1.935,6.0,0,manual_rail_disc|round_100k|whole_dollar
CITIZENS CLEAN ELECTION COMMISSION,GENERAL GOVERNMENT,120,22130178,0,,19,3033159,27,46,3033159,13.71,2.213,10.5,6,sole_source|vendor_dependency|whole_dollar|manual_rail_disc
GOVERNOR'S OFFICE OF HIGHWAY SAFETY,GENERAL GOVERNMENT,57,8517885,0,,0,,0,0,,,0.0,0.0,0,
PIONEERS' HOME,HEALTH AND WELFARE,131,19176683,0,,0,,3,3,,,0.115,5.6,1,manual_rail_disc|whole_dollar
WEIGHTS AND MEASURES,INSPECTION AND REGULATION,9,1521332,0,,0,,0,0,,,0.0,0.0,0,
BOARD OF PSYCHOLOGIST EXAMINERS,INSPECTION AND REGULATION,2,1800000,0,,0,,0,0,,,0.0,0.0,0,
NORTHERN ARIZONA UNIVERSITY,EDUCATION,771,1593318045,0,,0,,18,18,,,0.065,2.8,1,
ARIZONA STATE UNIVERSITY,EDUCATION,860,5396956673,0,,2,10860250,24,26,10860250,0.2,0.09,5.6,1,june_round|manual_rail_disc
