appropriation,lead_agency,hv_txn,hv_exposure,n_tier1,tier12_exposure,max_risk_score,distinct_vendors
PRIVATE DONATIONS AND ISA MONIES,DEPT OF EDUCATION,56,24464053,8,14920727,12.0,17
ASVH - YUMA CONSTRUCTION,DEPT OF VETERANS SERVICES,20,18730098,7,14324235,7.8,1
STATEWIDE CYBERSECURITY GRANTS,DEPT OF HOMELAND SECURITY,46,28269418,2,13612663,10.5,3
LAND MOBILE RADIO EXPANSION AND UPGRADES,DEPT OF PUBLIC SAFETY,12,18907238,2,13497008,9.8,2
LOCAL AGENCY DEPOSITS,DEPT OF TRANSPORTATION,288,94596561,1,13477193,7.8,57
JOBS SLI TANF,DEPT OF ECONOMIC SECURITY,193,60539296,2,13464267,7.5,6
ECONOMIC DEVELOPMENT EXPENDITURE,OFFICE OF ECONOMIC OPPORTUNITY,21,19281812,2,12821070,19.5,2
BORDER STRIKE TASK FORCE ONE-TIME,DEPT OF PUBLIC SAFETY,17,14124169,5,12223784,12.0,8
PRINTING OF INSTANT TICKETS,LOTTERY COMMISSION,451,113002398,1,12194034,12.6,14
CONVERSION APPROPS,DEPT OF CHILD SAFETY,31,118196426,1,12006779,11.2,1
DCS OPERATING LUMP SUM-1000,DEPT OF CHILD SAFETY,688,368734026,2,11943566,12.6,13
BRITS OPERATIONAL SUPPORT,DEPT OF REVENUE,72,26417074,5,11702000,9.0,13
DES ARPA INITIATIVES,AHCCCS,8,11480000,8,11480000,6.0,0
AFIS REPLACEMENT ERP,DEPT OF ADMINISTRATION,45,21709667,4,11081762,10.5,3
ISA AND IGA AGREEMENTS,DEPT OF HEALTH SERVICES,304,200366910,3,11013903,7.5,32
DAAS NON-APPROPRIATED OPERATING,DEPT OF ECONOMIC SECURITY,360,121430520,3,10864338,12.0,11
ACI - OPERATIONS,DEPT OF CORRECTIONS,247,75153364,1,10705794,9.6,28
AUTOMATION AND INFORMATION TECH PROJECTS,DEPT OF ADMINISTRATION,45,38883262,1,10469802,11.2,14
CORONAVIRUS STATE & LOCAL FISCAL RECOVERY FUND APPROPRIATION,GOVERNOR'S OFFICE,1511,1410412598,2,10438988,12.0,304
DIVISION OF LONG TERM CARE,DEPT OF ECONOMIC SECURITY,66,425315408,1,10419912,11.2,10
ONE TIME HELICOPTER REPLACEMENT,DEPT OF PUBLIC SAFETY,4,10359485,1,10216726,8.4,2
PROP 204 AHCCCS ADMINISTRATION,AHCCCS,153,61594446,2,9821946,7.5,13
REHABILITATE PAVE ALONG U.S. ROUTE 60 BETWEEN L101 AND L202,DEPT OF TRANSPORTATION,65,40254308,1,9545360,10.4,3
BORDER SECURITY FUND ALLOCATIONS,DEPT OF EMERGENCY AND MILITARY AFFAIRS,176,148013427,2,9132786,7.5,19
OPERATING LUMP SUM ONE-TIME INCREASE,DEPT OF EDUCATION,8,10085746,3,8500000,13.5,2
MEDICAL STAFFING AUGMENTATION,DEPT OF CORRECTIONS,4,11224380,2,8453055,7.5,2
MA FEDERAL FUNDING - MILITARY CONSTRUCTN,DEPT OF EMERGENCY AND MILITARY AFFAIRS,34,25899431,3,8397895,8.4,4
WORKERS COMPENSATION LOSSES  PREMIUMS,DEPT OF ADMINISTRATION,132,28394224,4,8324143,11.2,5
AGENCY SUPPORT DIVISION,DEPT OF PUBLIC SAFETY,197,72253664,2,8235181,15.6,52
SPECIAL FUND NON-APPROPRIATED,INDUSTRIAL COMMISSION,60,14982242,2,8184861,12.0,23
ARIZONA FINANCIAL INFORMATION SYSTEM - 2A,DEPT OF ADMINISTRATION,9,9261602,6,7919000,13.5,1
WORKERS COMPENSATION LOSSES PREMIUMS,DEPT OF ADMINISTRATION,234,39663270,1,7850613,12.6,9
HEALTH CARE AOOE,DEPT OF CORRECTIONS,36,13387978,1,7839552,7.5,8
LTC INSTITUTIONAL OPERATING,DEPT OF ECONOMIC SECURITY,174,143378688,3,7819094,12.0,12
STATE TOURISM PROMOTION,OFFICE OF TOURISM,70,21797803,1,7611105,12.6,12
REPLACE E-PROCUREMENT SYSTEM,DEPT OF ADMINISTRATION,12,10547493,2,7539145,16.5,2
