entity_key,parent_key,parent_name,method,confidence,group_size
CARAHSOFT TECHNOLOGY CORPORATION,CARAHSOFT TECHNOLOGY CORP,CARAHSOFT TECHNOLOGY CORP,norm_exact,high,2
CARDEN TRADITIONAL SCHOOL OF SURPRISE INC,CARDEN TRADITIONAL SCHOOL OF SURPRISE INC,CARDEN TRADITIONAL SCHOOL OF SURPRISE INC,parent,singleton,1
CARDINAL CHARITIES INC,CARDINAL CHARITIES INC,CARDINAL CHARITIES INC,parent,singleton,1
CARDINAL HEALTH 110 LLC,CARDINAL HEALTH 110 LLC,CARDINAL HEALTH 110 LLC,parent,singleton,1
CARDINAL HEALTH 411 INC,CARDINAL HEALTH 411 INC,CARDINAL HEALTH 411 INC,parent,singleton,1
CARDINAL HEALTH PHARMACY SER,CARDINAL HEALTH PHARMACY SER,CARDINAL HEALTH PHARMACY SER,parent,singleton,1
CARDNO INC,CARDNO INC,CARDNO INC,parent,singleton,1
"CARE 1ST HEALTH PLAN ARIZONA, INC.","CARE 1ST HEALTH PLAN ARIZONA, INC.","CARE 1ST HEALTH PLAN ARIZONA, INC.",parent,singleton,1
"CARE 1ST HEALTH PLAN ARIZONA\, INC.","CARE 1ST HEALTH PLAN ARIZONA\, INC.","CARE 1ST HEALTH PLAN ARIZONA\, INC.",parent,singleton,1
CAREER SUCCESS SCHOOL,CAREER SUCCESS SCHOOL,CAREER SUCCESS SCHOOL,parent,singleton,1
CARELOCK LLC,CARELOCK LLC,CARELOCK LLC,parent,singleton,1
CARLA CARTER AND ASSOCIATES INC,CARLA CARTER AND ASSOCIATES INC,CARLA CARTER AND ASSOCIATES INC,parent,singleton,1
CARLA HRANEK ON BEHALF OF ALL STATUTORY,CARLA HRANEK ON BEHALF OF ALL STATUTORY,CARLA HRANEK ON BEHALF OF ALL STATUTORY,parent,singleton,1
CARLOS ARTURO CARRANZA,CARLOS ARTURO CARRANZA,CARLOS ARTURO CARRANZA,parent,singleton,1
CAROLINA BOY INC,CAROLINA BOY INC,CAROLINA BOY INC,parent,singleton,1
CAROLLO ENGINEERS INC,CAROLLO ENGINEERS INC,CAROLLO ENGINEERS INC,parent,singleton,1
CAROLYN SUE HARRIS AND HER ATTORNEYS,CAROLYN SUE HARRIS AND HER ATTORNEYS,CAROLYN SUE HARRIS AND HER ATTORNEYS,parent,singleton,1
CARONDELET HEART & VASCUL,CARONDELET HEART & VASCUL,CARONDELET HEART & VASCUL,parent,singleton,1
CARONDELET ST JOSEPHS-TUC,CARONDELET ST JOSEPHS-TUC,CARONDELET ST JOSEPHS-TUC,parent,singleton,1
CARONDELET ST MARYS HOSP,CARONDELET ST MARYS HOSP,CARONDELET ST MARYS HOSP,parent,singleton,1
CARPE DIEM COLLEGIATE HIGH SCHOOL,CARPE DIEM COLLEGIATE HIGH SCHOOL,CARPE DIEM COLLEGIATE HIGH SCHOOL,parent,singleton,1
"CARRINGTON MORTGAGE SERVICES, LLC","CARRINGTON MORTGAGE SERVICES, LLC","CARRINGTON MORTGAGE SERVICES, LLC",parent,singleton,1
CARSON CONSTRUCTION COMPANY INC,CARSON CONSTRUCTION COMPANY INC,CARSON CONSTRUCTION COMPANY INC,parent,singleton,1
CARTWHEEL HEALTH SERVICES PC,CARTWHEEL HEALTH SERVICES PC,CARTWHEEL HEALTH SERVICES PC,parent,singleton,1
CARTWRIGHT S.D.,CARTWRIGHT S.D.,CARTWRIGHT S.D.,parent,singleton,1
CARUSO CONSTRUCTION INC,CARUSO CONSTRUCTION INC,CARUSO CONSTRUCTION INC,parent,high,2
CARUSO CONSTRUCTION INC.,CARUSO CONSTRUCTION INC,CARUSO CONSTRUCTION INC,norm_exact,high,2
CARVER MOUNTAIN ENTERPRISES,CARVER MOUNTAIN ENTERPRISES,CARVER MOUNTAIN ENTERPRISES,parent,singleton,1
CASA ACADEMY,CASA ACADEMY,CASA ACADEMY,parent,singleton,1
CASA BLANCA COMMUNITY SCHOOL,CASA BLANCA COMMUNITY SCHOOL,CASA BLANCA COMMUNITY SCHOOL,parent,singleton,1
CASA DE LOS NINOS INC,CASA DE LOS NINOS INC,CASA DE LOS NINOS INC,parent,singleton,1
"CASA GRANDE AHI, LLLP","CASA GRANDE AHI, LLLP","CASA GRANDE AHI, LLLP",parent,singleton,1
CASA GRANDE ELEMENTARY SCHOOL DISTRICT 4,CASA GRANDE ELEMENTARY SCHOOL DISTRICT 4,CASA GRANDE ELEMENTARY SCHOOL DISTRICT 4,parent,singleton,1
CASA GRANDE REG MED CTR,CASA GRANDE REG MED CTR,CASA GRANDE REG MED CTR,parent,singleton,1
CASA GRANDE UNION H S,CASA GRANDE UNION H S,CASA GRANDE UNION H S,parent,singleton,1
"CASA SIERRA INVESTMENTS, LLLP","CASA SIERRA INVESTMENTS, LLLP","CASA SIERRA INVESTMENTS, LLLP",parent,singleton,1
CASCADE APARTMENTS LLC,CASCADE APARTMENTS LLC,CASCADE APARTMENTS LLC,parent,singleton,1
CASINO ARIZONA,CASINO ARIZONA,CASINO ARIZONA,parent,singleton,1
CASPIAN SEA INC,CASPIAN SEA INC,CASPIAN SEA INC,parent,singleton,1
CASUAL ASTRONAUT INC,CASUAL ASTRONAUT INC,CASUAL ASTRONAUT INC,parent,singleton,1
"CATALINA COUPE, INC","CATALINA COUPE, INC","CATALINA COUPE, INC",parent,singleton,1
CATALINA FOOTHILLS SCHOOL DISTRICT,CATALINA FOOTHILLS SCHOOL DISTRICT,CATALINA FOOTHILLS SCHOOL DISTRICT,parent,singleton,1
CATALIS COURTS & LAND RECORDS LLC,CATALIS COURTS & LAND RECORDS LLC,CATALIS COURTS & LAND RECORDS LLC,parent,singleton,1
CATAPULT LEARNING WEST LLC,CATAPULT LEARNING WEST LLC,CATAPULT LEARNING WEST LLC,parent,singleton,1
CATHOLIC CHARITIES COMMUNITY SERVICES,CATHOLIC CHARITIES COMMUNITY SERVICES INC,CATHOLIC CHARITIES COMMUNITY SERVICES INC,norm_exact,high,2
CATHOLIC CHARITIES COMMUNITY SERVICES INC,CATHOLIC CHARITIES COMMUNITY SERVICES INC,CATHOLIC CHARITIES COMMUNITY SERVICES INC,parent,high,2
CATHOLIC COMMUNITY SERVICES OF SOUTHERN ARIZONA INC,CATHOLIC COMMUNITY SERVICES OF SOUTHERN ARIZONA INC,CATHOLIC COMMUNITY SERVICES OF SOUTHERN ARIZONA INC,parent,singleton,1
CAVCO INDUSTRIES INC,CAVCO INDUSTRIES INC,CAVCO INDUSTRIES INC,parent,singleton,1
"CAYETANO, INC","CAYETANO, INC","CAYETANO, INC",parent,singleton,1
CBRE INC,CBRE INC,CBRE INC,parent,singleton,1
CDB VALLEY VIEW APARTMENTS LP,CDB VALLEY VIEW APARTMENTS LP,CDB VALLEY VIEW APARTMENTS LP,parent,singleton,1
CDM SMITH INC,CDM SMITH INC,CDM SMITH INC,parent,singleton,1
CDS TWO LP,CDS TWO LP,CDS TWO LP,parent,singleton,1
CDW GOVERNMENT INC,CDW GOVERNMENT INC,CDW GOVERNMENT INC,parent,singleton,1
CEDAR CREST/FLAGSTAFF LP,CEDAR CREST/FLAGSTAFF LP,CEDAR CREST/FLAGSTAFF LP,parent,singleton,1
CEDAR UNIFIED SCHOOL DISTRICT,CEDAR UNIFIED SCHOOL DISTRICT,CEDAR UNIFIED SCHOOL DISTRICT,parent,singleton,1
CEIA USA LTD,CEIA USA LTD,CEIA USA LTD,parent,singleton,1
CELERITY CONSULTING GROUP LLC,CELERITY CONSULTING GROUP LLC,CELERITY CONSULTING GROUP LLC,parent,singleton,1
CELLCO PARTNERSHIP,CELLCO PARTNERSHIP,CELLCO PARTNERSHIP,parent,singleton,1
CEMEX,CEMEX,CEMEX,parent,singleton,1
CEMEX CONSTRUCTION MATERIALS SOUTH LLC,CEMEX CONSTRUCTION MATERIALS SOUTH LLC,CEMEX CONSTRUCTION MATERIALS SOUTH LLC,parent,singleton,1
CENGAGE LEARNING,CENGAGE LEARNING,CENGAGE LEARNING,parent,singleton,1
CENPATICO INTERGRATED CARE,CENPATICO INTERGRATED CARE,CENPATICO INTERGRATED CARE,parent,singleton,1
CENPATICO OF ARIZONA INC,"CENPATICO OF ARIZONA, INC.","CENPATICO OF ARIZONA, INC.",norm_exact,high,4
CENPATICO OF ARIZONA LLC,"CENPATICO OF ARIZONA, INC.","CENPATICO OF ARIZONA, INC.",norm_exact,high,4
"CENPATICO OF ARIZONA, INC","CENPATICO OF ARIZONA, INC.","CENPATICO OF ARIZONA, INC.",norm_exact,high,4
"CENPATICO OF ARIZONA, INC.","CENPATICO OF ARIZONA, INC.","CENPATICO OF ARIZONA, INC.",parent,high,4
"CENPATICO OF ARIZONA\, INC","CENPATICO OF ARIZONA\, INC","CENPATICO OF ARIZONA\, INC",parent,singleton,1
CENTENNIAL CONTRACTORS ENTERPRISES INC,CENTENNIAL CONTRACTORS ENTERPRISES INC,CENTENNIAL CONTRACTORS ENTERPRISES INC,parent,singleton,1
CENTER FOR ACADEMIC SUCCESS INC,CENTER FOR ACADEMIC SUCCESS INC,CENTER FOR ACADEMIC SUCCESS INC,parent,singleton,1
CENTER FOR THE FUTURE OF ARIZONA,CENTER FOR THE FUTURE OF ARIZONA,CENTER FOR THE FUTURE OF ARIZONA,parent,singleton,1
CENTER OF HOPE APARTMENTS LP,CENTER OF HOPE APARTMENTS LP,CENTER OF HOPE APARTMENTS LP,parent,singleton,1
CENTERLINE HOMES LLC,CENTERLINE HOMES LLC,CENTERLINE HOMES LLC,parent,singleton,1
CENTERLINE ON GLENDALE LLC,CENTERLINE ON GLENDALE LLC,CENTERLINE ON GLENDALE LLC,parent,high,2
CENTERLINE ON GLENDALE TWO LLC,CENTERLINE ON GLENDALE LLC,CENTERLINE ON GLENDALE LLC,token_subset,high,2
CENTERS FOR MEDICARE & MEDICAID SERVICES (CMS),CENTERS FOR MEDICARE & MEDICAID SERVICES (CMS),CENTERS FOR MEDICARE & MEDICAID SERVICES (CMS),parent,singleton,1
CENTRAL ARIZONA FAIR ASSOCIATION,CENTRAL ARIZONA FAIR ASSOCIATION,CENTRAL ARIZONA FAIR ASSOCIATION,parent,singleton,1
CENTRAL ARIZONA FIRE AND MEDICAL AUTHORITY,CENTRAL ARIZONA FIRE AND MEDICAL AUTHORITY,CENTRAL ARIZONA FIRE AND MEDICAL AUTHORITY,parent,singleton,1
CENTRAL ARIZONA IRRIGATION AND DRAINAGE DISTRICT,CENTRAL ARIZONA IRRIGATION AND DRAINAGE DISTRICT,CENTRAL ARIZONA IRRIGATION AND DRAINAGE DISTRICT,parent,singleton,1
CENTRAL ARIZONA REGIONAL ECONOMIC DEVELOPMENT FOUNDATION,CENTRAL ARIZONA REGIONAL ECONOMIC DEVELOPMENT FOUNDATION,CENTRAL ARIZONA REGIONAL ECONOMIC DEVELOPMENT FOUNDATION,parent,singleton,1
CENTRAL ARIZONA SHELTER SERVICES,CENTRAL ARIZONA SHELTER SERVICES,CENTRAL ARIZONA SHELTER SERVICES,parent,singleton,1
CENTRAL ARIZONA VALLEY INSTITUTE OF TECHNOLOGY,CENTRAL ARIZONA VALLEY INSTITUTE OF TECHNOLOGY,CENTRAL ARIZONA VALLEY INSTITUTE OF TECHNOLOGY,parent,singleton,1
CENTRAL ARIZONA WATER CONSERVATION DISTRICT,CENTRAL ARIZONA WATER CONSERVATION DISTRICT,CENTRAL ARIZONA WATER CONSERVATION DISTRICT,parent,singleton,1
CENTRAL CHRISTIAN CHURCH,CENTRAL CHRISTIAN CHURCH,CENTRAL CHRISTIAN CHURCH,parent,singleton,1
CENTRAL HOME HEALTH SERVI,CENTRAL HOME HEALTH SERVI,CENTRAL HOME HEALTH SERVI,parent,singleton,1
CENTRAL SCOTTSDALE PREPARATORY ACADEMY,CENTRAL SCOTTSDALE PREPARATORY ACADEMY,CENTRAL SCOTTSDALE PREPARATORY ACADEMY,parent,singleton,1
CENTRAL TRAVEL ACCOUNT (GHOST CARD) DEA,CENTRAL TRAVEL ACCOUNT (GHOST CARD) DEA,CENTRAL TRAVEL ACCOUNT (GHOST CARD) DEA,parent,medium,2
CENTRAL TRAVEL ACCOUNT (GHOST CARD) MAA,CENTRAL TRAVEL ACCOUNT (GHOST CARD) DEA,CENTRAL TRAVEL ACCOUNT (GHOST CARD) DEA,token_jaccard,medium,2
CENTRAL YAVAPAI FIRE DISTRICT,CENTRAL YAVAPAI FIRE DISTRICT,CENTRAL YAVAPAI FIRE DISTRICT,parent,singleton,1
CENTRAL YAVAPAI METROPOLITAN PLANNING ORG,CENTRAL YAVAPAI METROPOLITAN PLANNING ORG,CENTRAL YAVAPAI METROPOLITAN PLANNING ORG,parent,singleton,1
CENTURION OF ARIZONA LLC,CENTURION OF ARIZONA LLC,CENTURION OF ARIZONA LLC,parent,singleton,1
CENTURYLINK COMMUNICATIONS LLC,CENTURYLINK COMMUNICATIONS LLC,CENTURYLINK COMMUNICATIONS LLC,parent,singleton,1
CEPHEID,CEPHEID,CEPHEID,parent,singleton,1
CGA INC,CGA INC,CGA INC,parent,singleton,1
CGD TEMPE LP,CGD TEMPE LP,CGD TEMPE LP,parent,singleton,1
CGI TECHNOLOGIES AND SOLUTIONS INC,CGI TECHNOLOGIES AND SOLUTIONS INC,CGI TECHNOLOGIES AND SOLUTIONS INC,parent,singleton,1
CHABAD OF SCOTTSDALE INC,CHABAD OF SCOTTSDALE INC,CHABAD OF SCOTTSDALE INC,parent,singleton,1
CHALLENGE SCHOOL INC,CHALLENGE SCHOOL INC,CHALLENGE SCHOOL INC,parent,singleton,1
CHALLENGER LEARNING CENTER OF AZ,CHALLENGER LEARNING CENTER OF AZ,CHALLENGER LEARNING CENTER OF AZ,parent,singleton,1
CHANDLER ELLIOT PARTNERS LLC,CHANDLER ELLIOT PARTNERS LLC,CHANDLER ELLIOT PARTNERS LLC,parent,singleton,1
CHANDLER PREPARATORY ACADEMY,CHANDLER PREPARATORY ACADEMY,CHANDLER PREPARATORY ACADEMY,parent,singleton,1
CHANDLER REGIONAL MED.CTR,CHANDLER REGIONAL MED.CTR,CHANDLER REGIONAL MED.CTR,parent,singleton,1
CHANDLER UNIFIED SCHOOL DISTRICT 80,CHANDLER UNIFIED SCHOOL DISTRICT 80,CHANDLER UNIFIED SCHOOL DISTRICT 80,parent,singleton,1
CHANGE AND INNOVATION AGENCY LLC,CHANGE AND INNOVATION AGENCY LLC,CHANGE AND INNOVATION AGENCY LLC,parent,singleton,1
"CHANGE HEALTHCARE TECHNOLOGIES, LLC","CHANGE HEALTHCARE TECHNOLOGIES, LLC","CHANGE HEALTHCARE TECHNOLOGIES, LLC",parent,singleton,1
CHANGES HEALING CENTER,CHANGES HEALING CENTER,CHANGES HEALING CENTER,parent,singleton,1
CHAPMAN FORD LLC,CHAPMAN FORD LLC,CHAPMAN FORD LLC,parent,singleton,1
CHARLES M DYER AS SPECIAL CONSERVATOR,CHARLES M DYER AS SPECIAL CONSERVATOR,CHARLES M DYER AS SPECIAL CONSERVATOR,parent,singleton,1
CHASE CARSON & WHITE LLC,CHASE CARSON & WHITE LLC,CHASE CARSON & WHITE LLC,parent,singleton,1
CHECKERED FLAG RUN FOUNDATION,CHECKERED FLAG RUN FOUNDATION,CHECKERED FLAG RUN FOUNDATION,parent,singleton,1
CHEDER LUBAVITCH ARIZONA,CHEDER LUBAVITCH ARIZONA,CHEDER LUBAVITCH ARIZONA,parent,singleton,1
CHEMICAL SERVICES AND SALES INC,CHEMICAL SERVICES AND SALES INC,CHEMICAL SERVICES AND SALES INC,parent,singleton,1
CHEROKEE AVIATION HOLDINGS LLC,CHEROKEE AVIATION HOLDINGS LLC,CHEROKEE AVIATION HOLDINGS LLC,parent,singleton,1
CHEROKEE DEVELOPMENT LTD.,CHEROKEE DEVELOPMENT LTD.,CHEROKEE DEVELOPMENT LTD.,parent,singleton,1
CHERWELL SOFTWARE INC,CHERWELL SOFTWARE INC,CHERWELL SOFTWARE INC,parent,singleton,1
CHEUVRONT CONSTRUCTION INC,CHEUVRONT CONSTRUCTION INC,CHEUVRONT CONSTRUCTION INC,parent,singleton,1
CHEVRON USA INC,CHEVRON USA INC,CHEVRON USA INC,parent,high,2
CHICAGO CUBS BASEBALL CLUB LLC,CHICAGO CUBS BASEBALL CLUB LLC,CHICAGO CUBS BASEBALL CLUB LLC,parent,singleton,1
CHICAGO TITLE INSURANCE CO,CHICAGO TITLE INSURANCE COMPANY,CHICAGO TITLE INSURANCE COMPANY,norm_exact,high,2
CHICAGO TITLE INSURANCE COMPANY,CHICAGO TITLE INSURANCE COMPANY,CHICAGO TITLE INSURANCE COMPANY,parent,high,2
CHICANOS POR LA CAUSA INC,CHICANOS POR LA CAUSA INC,CHICANOS POR LA CAUSA INC,parent,singleton,1
CHILD & FAMILY SUPPORT,CHILD & FAMILY SUPPORT,CHILD & FAMILY SUPPORT,parent,high,2
CHILD & FAMILY SUPPORT SERVICE,CHILD & FAMILY SUPPORT,CHILD & FAMILY SUPPORT,token_subset,high,2
CHILD AND FAMILY RESOURCES INC,CHILD AND FAMILY RESOURCES INC,CHILD AND FAMILY RESOURCES INC,parent,singleton,1
CHILD CARE EDUCATION INSTITUTE,CHILD CARE EDUCATION INSTITUTE,CHILD CARE EDUCATION INSTITUTE,parent,singleton,1
CHILD CRISIS ARIZONA,CHILD CRISIS ARIZONA,CHILD CRISIS ARIZONA,parent,singleton,1
CHILD CRISIS CENTER,CHILD CRISIS CENTER,CHILD CRISIS CENTER,parent,singleton,1
CHILD DEVELOPMENT SCHOOLS,CHILD DEVELOPMENT SCHOOLS INC.,CHILD DEVELOPMENT SCHOOLS INC.,norm_exact,high,2
CHILD DEVELOPMENT SCHOOLS INC.,CHILD DEVELOPMENT SCHOOLS INC.,CHILD DEVELOPMENT SCHOOLS INC.,parent,high,2
CHILD PARENT CENTERS INC,CHILD PARENT CENTERS INC,CHILD PARENT CENTERS INC,parent,singleton,1
CHILD TRENDS INC,"CHILD TRENDS, INC.","CHILD TRENDS, INC.",norm_exact,high,2
"CHILD TRENDS, INC.","CHILD TRENDS, INC.","CHILD TRENDS, INC.",parent,high,2
"CHILD TRENDS\, INC.","CHILD TRENDS\, INC.","CHILD TRENDS\, INC.",parent,singleton,1
CHILDHELP USA,CHILDHELP USA,CHILDHELP USA,parent,singleton,1
CHILDRENS RIGHTS INC,CHILDRENS RIGHTS INC,CHILDRENS RIGHTS INC,parent,singleton,1
CHILDSPLAY INC,CHILDSPLAY INC,CHILDSPLAY INC,parent,singleton,1
CHILDTIME CHILDCARE INC,CHILDTIME CHILDCARE INC,CHILDTIME CHILDCARE INC,parent,singleton,1
CHINLE NURSING HOME,CHINLE NURSING HOME,CHINLE NURSING HOME,parent,singleton,1
CHINLE UNIFIED DISTRICT 24,CHINLE UNIFIED DISTRICT 24,CHINLE UNIFIED DISTRICT 24,parent,singleton,1
CHINO VALLEY FIRE DISTRICT,CHINO VALLEY FIRE DISTRICT,CHINO VALLEY FIRE DISTRICT,parent,singleton,1
CHINO VALLEY UNIFIED SCHOOL DISTRICT 51,CHINO VALLEY UNIFIED SCHOOL DISTRICT 51,CHINO VALLEY UNIFIED SCHOOL DISTRICT 51,parent,singleton,1
CHINO VALLEY USD 51,CHINO VALLEY USD 51,CHINO VALLEY USD 51,parent,singleton,1
CHIRICAHUA COMM HC-VISTA,CHIRICAHUA COMM HC-VISTA,CHIRICAHUA COMM HC-VISTA,parent,singleton,1
CHOICE ACADEMIES INC,CHOICE ACADEMIES INC,CHOICE ACADEMIES INC,parent,singleton,1
CHOLLA ACADEMY,CHOLLA ACADEMY,CHOLLA ACADEMY,parent,singleton,1
CHOLLA PAVEMENT MAINTENANCE INC,CHOLLA PAVEMENT MAINTENANCE INC,CHOLLA PAVEMENT MAINTENANCE INC,parent,singleton,1
CHOW COUNSELING FAMILY SE,CHOW COUNSELING FAMILY SE,CHOW COUNSELING FAMILY SE,parent,singleton,1
CHRIST GREENFIELD LUTHERAN CHURCH,CHRIST GREENFIELD LUTHERAN CHURCH,CHRIST GREENFIELD LUTHERAN CHURCH,parent,singleton,1
CHRIST LUTHERAN CHURCH DBA YUMA LUTHERAN SCHOOL,CHRIST LUTHERAN CHURCH DBA YUMA LUTHERAN SCHOOL,CHRIST LUTHERAN CHURCH DBA YUMA LUTHERAN SCHOOL,parent,singleton,1
CHRIST THE KING ROMAN CATHOLIC PARISH MESA,CHRIST THE KING ROMAN CATHOLIC PARISH MESA,CHRIST THE KING ROMAN CATHOLIC PARISH MESA,parent,singleton,1
CHRISTIAN3 MEGA CLINIC LL,CHRISTIAN3 MEGA CLINIC LL,CHRISTIAN3 MEGA CLINIC LL,parent,singleton,1
CHRISTINE RODE AND GOLDMAN & ZWILLINGER PLLC TRUST ACCOUNT,CHRISTINE RODE AND GOLDMAN & ZWILLINGER PLLC TRUST ACCOUNT,CHRISTINE RODE AND GOLDMAN & ZWILLINGER PLLC TRUST ACCOUNT,parent,singleton,1
CHRISTOPHER ARTHUR LINES,CHRISTOPHER ARTHUR LINES,CHRISTOPHER ARTHUR LINES,parent,singleton,1
CHRISTOPHER KOHLS FIRE DISTRICT,CHRISTOPHER KOHLS FIRE DISTRICT,CHRISTOPHER KOHLS FIRE DISTRICT,parent,singleton,1
CHRISTOPHER MICHAEL RODRIGUEZ & LORENA CRISTINA,CHRISTOPHER MICHAEL RODRIGUEZ & LORENA CRISTINA,CHRISTOPHER MICHAEL RODRIGUEZ & LORENA CRISTINA,parent,singleton,1
CHRISTOPHER R POST,CHRISTOPHER R POST,CHRISTOPHER R POST,parent,singleton,1
CHRISTY LEA ZAVALA,CHRISTY LEA ZAVALA,CHRISTY LEA ZAVALA,parent,singleton,1
CHRYSALIS SHELTER FOR VICTIMS OF DOMESTIC VIOLENCE INC,CHRYSALIS SHELTER FOR VICTIMS OF DOMESTIC VIOLENCE INC,CHRYSALIS SHELTER FOR VICTIMS OF DOMESTIC VIOLENCE INC,parent,high,2
"CHRYSALIS SHELTER FOR VICTIMS OF DOMESTIC VIOLENCE, INC.",CHRYSALIS SHELTER FOR VICTIMS OF DOMESTIC VIOLENCE INC,CHRYSALIS SHELTER FOR VICTIMS OF DOMESTIC VIOLENCE INC,norm_exact,high,2
CHRYSTAL ANGOTTI,CHRYSTAL ANGOTTI,CHRYSTAL ANGOTTI,parent,singleton,1
CIARA EADES & HER ATTORNEYS BREYER LAW OFFICES PC,CIARA EADES & HER ATTORNEYS BREYER LAW OFFICES PC,CIARA EADES & HER ATTORNEYS BREYER LAW OFFICES PC,parent,singleton,1
"CIBECUE COMMUNITY SCHOOL BOARD ED, INC.","CIBECUE COMMUNITY SCHOOL BOARD ED, INC.","CIBECUE COMMUNITY SCHOOL BOARD ED, INC.",parent,singleton,1
CICERO PREPARATORY ACADEMY,CICERO PREPARATORY ACADEMY,CICERO PREPARATORY ACADEMY,parent,singleton,1
CIGNA HEALTHCARE OF ARIZONA,CIGNA HEALTHCARE OF ARIZONA,CIGNA HEALTHCARE OF ARIZONA,parent,singleton,1
CIMA COMPANIES INC,CIMA COMPANIES INC,CIMA COMPANIES INC,parent,singleton,1
CIRCLE K STORES INC,CIRCLE K STORES INC,CIRCLE K STORES INC,parent,singleton,1
CIRCLE OF HOPE LLC,CIRCLE OF HOPE LLC,CIRCLE OF HOPE LLC,parent,singleton,1
CIRCLE THE CITY MEDICAL,CIRCLE THE CITY MEDICAL,CIRCLE THE CITY MEDICAL,parent,singleton,1
CITY CENTER FOR COLLABORTIVE LEARNING,CITY CENTER FOR COLLABORTIVE LEARNING,CITY CENTER FOR COLLABORTIVE LEARNING,parent,singleton,1
CITY ELECTRIC SUPPLY,CITY ELECTRIC SUPPLY,CITY ELECTRIC SUPPLY,parent,singleton,1
CITY HELP INC OF PHOENIX,CITY HELP INC OF PHOENIX,CITY HELP INC OF PHOENIX,parent,singleton,1
CITY OF APACHE JUNCTI0N,CITY OF APACHE JUNCTI0N,CITY OF APACHE JUNCTI0N,parent,singleton,1
CITY OF APACHE JUNCTION,CITY OF APACHE JUNCTION,CITY OF APACHE JUNCTION,parent,singleton,1
CITY OF AVONDALE,CITY OF AVONDALE,CITY OF AVONDALE,parent,singleton,1
CITY OF BENSON,CITY OF BENSON,CITY OF BENSON,parent,singleton,1
CITY OF BISBEE,CITY OF BISBEE,CITY OF BISBEE,parent,singleton,1
CITY OF BUCKEYE,CITY OF BUCKEYE,CITY OF BUCKEYE,parent,singleton,1
CITY OF BULLHEAD CITY ARIZONA,CITY OF BULLHEAD CITY ARIZONA,CITY OF BULLHEAD CITY ARIZONA,parent,singleton,1
CITY OF CASA GRANDE,CITY OF CASA GRANDE,CITY OF CASA GRANDE,parent,singleton,1
CITY OF CHANDLER,CITY OF CHANDLER,CITY OF CHANDLER,parent,singleton,1
CITY OF COOLIDGE,CITY OF COOLIDGE,CITY OF COOLIDGE,parent,singleton,1
CITY OF COTTONWOOD,CITY OF COTTONWOOD,CITY OF COTTONWOOD,parent,singleton,1
CITY OF DOUGLAS,CITY OF DOUGLAS,CITY OF DOUGLAS,parent,singleton,1
CITY OF EL MIRAGE,CITY OF EL MIRAGE,CITY OF EL MIRAGE,parent,singleton,1
CITY OF ELOY,CITY OF ELOY,CITY OF ELOY,parent,singleton,1
CITY OF FLAGSTAFF,CITY OF FLAGSTAFF,CITY OF FLAGSTAFF,parent,singleton,1
CITY OF GLENDALE,CITY OF GLENDALE,CITY OF GLENDALE,parent,singleton,1
CITY OF GLOBE,CITY OF GLOBE,CITY OF GLOBE,parent,singleton,1
CITY OF GOODYEAR,CITY OF GOODYEAR,CITY OF GOODYEAR,parent,singleton,1
CITY OF HOLBROOK,CITY OF HOLBROOK,CITY OF HOLBROOK,parent,singleton,1
CITY OF KINGMAN,CITY OF KINGMAN,CITY OF KINGMAN,parent,singleton,1
CITY OF LAKE HAVASU,CITY OF LAKE HAVASU,CITY OF LAKE HAVASU,parent,singleton,1
CITY OF LITCHFIELD PARK,CITY OF LITCHFIELD PARK,CITY OF LITCHFIELD PARK,parent,singleton,1
CITY OF MARANA PUBLIC SCHOOLS,CITY OF MARANA PUBLIC SCHOOLS,CITY OF MARANA PUBLIC SCHOOLS,parent,singleton,1
CITY OF MARICOPA,CITY OF MARICOPA,CITY OF MARICOPA,parent,singleton,1
CITY OF MESA,CITY OF MESA,CITY OF MESA,parent,singleton,1
CITY OF NOGALES,CITY OF NOGALES,CITY OF NOGALES,parent,singleton,1
CITY OF PAGE,CITY OF PAGE,CITY OF PAGE,parent,singleton,1
CITY OF PEORIA,CITY OF PEORIA,CITY OF PEORIA,parent,singleton,1
CITY OF PHOENIX,CITY OF PHOENIX,CITY OF PHOENIX,parent,singleton,1
CITY OF PHOENIX ARIZONA,CITY OF PHOENIX ARIZONA,CITY OF PHOENIX ARIZONA,parent,singleton,1
CITY OF PHOENIX ARIZONA-PARKS AND RECREATION,CITY OF PHOENIX ARIZONA-PARKS AND RECREATION,CITY OF PHOENIX ARIZONA-PARKS AND RECREATION,parent,singleton,1
CITY OF PHOENIX AVIATION,CITY OF PHOENIX AVIATION,CITY OF PHOENIX AVIATION,parent,singleton,1
CITY OF PHOENIX HUMAN SERVICES DEPARTMENT,CITY OF PHOENIX HUMAN SERVICES DEPARTMENT,CITY OF PHOENIX HUMAN SERVICES DEPARTMENT,parent,singleton,1
CITY OF PHOENIX NEIGHBORHOOD SERVICES DEPARTMENT,CITY OF PHOENIX NEIGHBORHOOD SERVICES DEPARTMENT,CITY OF PHOENIX NEIGHBORHOOD SERVICES DEPARTMENT,parent,singleton,1
CITY OF PRESCOTT,CITY OF PRESCOTT,CITY OF PRESCOTT,parent,singleton,1
CITY OF SAFFORD,CITY OF SAFFORD,CITY OF SAFFORD,parent,singleton,1
