entity_key,parent_key,parent_name,method,confidence,group_size
AB SCIEX LLC,AB SCIEX LLC,AB SCIEX LLC,parent,singleton,1
"ABACUS PROJECT MANAGEMENT, INC.","ABACUS PROJECT MANAGEMENT, INC.","ABACUS PROJECT MANAGEMENT, INC.",parent,singleton,1
ABBCO SIGN GROUP INC,ABBCO SIGN GROUP INC,ABBCO SIGN GROUP INC,parent,singleton,1
ABBOTT INFORMATICS CORP,ABBOTT INFORMATICS CORP,ABBOTT INFORMATICS CORP,parent,singleton,1
ABBOTT RAPID DX NORTH AMERICA LLC,ABBOTT RAPID DX NORTH AMERICA LLC,ABBOTT RAPID DX NORTH AMERICA LLC,parent,singleton,1
ABC AMBULANCE LLC,ABC AMBULANCE LLC,ABC AMBULANCE LLC,parent,singleton,1
"ABC ONLINE RESOURCES, LLC","ABC ONLINE RESOURCES, LLC","ABC ONLINE RESOURCES, LLC",parent,singleton,1
ABC PHONETIC READING SCHOOL INC,ABC PHONETIC READING SCHOOL INC,ABC PHONETIC READING SCHOOL INC,parent,singleton,1
ABN ENGINEERING LLC,ABN ENGINEERING LLC,ABN ENGINEERING LLC,parent,singleton,1
ABR PROPERTY LLC,ABR PROPERTY LLC,ABR PROPERTY LLC,parent,singleton,1
ABRA WATER COMPANY INC,ABRA WATER COMPANY INC,ABRA WATER COMPANY INC,parent,singleton,1
ABRAHAM LINCOLN PREPARATORY SCHOOL,ABRAHAM LINCOLN PREPARATORY SCHOOL,ABRAHAM LINCOLN PREPARATORY SCHOOL,parent,singleton,1
ABRAZO ARROWHEAD CAMPUS,ABRAZO ARROWHEAD CAMPUS,ABRAZO ARROWHEAD CAMPUS,parent,singleton,1
ABRAZO AZ HEART HOSPITAL,ABRAZO AZ HEART HOSPITAL,ABRAZO AZ HEART HOSPITAL,parent,singleton,1
ABRAZO CENTRAL CAMPUS,ABRAZO CENTRAL CAMPUS,ABRAZO CENTRAL CAMPUS,parent,singleton,1
ABRAZO MARYVALE CAMPUS,ABRAZO MARYVALE CAMPUS,ABRAZO MARYVALE CAMPUS,parent,singleton,1
ABRAZO SCOTTSDALE CAMPUS,ABRAZO SCOTTSDALE CAMPUS,ABRAZO SCOTTSDALE CAMPUS,parent,singleton,1
ABRAZO WEST CAMPUS,ABRAZO WEST CAMPUS,ABRAZO WEST CAMPUS,parent,singleton,1
ABREGO AUTOMOTIVE INC,ABREGO AUTOMOTIVE INC,ABREGO AUTOMOTIVE INC,parent,singleton,1
