vid,payee,usd_tier1,n_tier1,n_tier2,max_risk_score,agencies_served,first_year_seen,markers
PZ000053526,KIEWIT DEVELOPMENT COMPANY,2000000,1,0,21.0,1,2016,"no_contract_named,offcontract,round_1m,peer_outlier,june_round"
PZ000033197,PULICE CONSTRUCTION INC,2000000,1,4,21.0,1,2016,"offcontract,no_contract_named,whole_dollar,june_round,round_1m"
IV0000036581,QUALTRICS LLC,1515420,1,4,19.5,1,2021,"new_vendor_large,offcontract,short_tenure_vendor,whole_dollar,no_contract_named"
IV0000001534,KINELLA CONSTRUCTION LLC,1500000,1,0,16.8,2,2023,"sole_source,round_100k,peer_outlier"
IV0000009391,LAKEWOOD COMMUNITY,1273000,1,1,16.9,1,2021,"person_name_payee,new_vendor_large,offcontract,whole_dollar,no_contract_named"
IV0000061961,PROVIDENT LAW,,0,1,16.9,1,2023,"person_name_payee,offcontract,new_vendor_large,whole_dollar"
VC0000071561,ALWAYS AVAILABLE DAIRY SERVICE LLC,,0,13,16.9,1,2023,"offcontract,short_tenure_vendor,new_vendor_large,whole_dollar,true_duplicate"
MISCCUSTOM,MISCELLANEOUS CUSTOMER,,0,12,18.0,5,2016,"offcontract,masked_payee,round_100k,whole_dollar,true_duplicate"
VC0000083776,IRCS CENTER FOR ECONOMIC OPPORTUNITY INC,,0,1,18.0,1,2025,"new_vendor_large,round_100k,june_round,offcontract"
VC0000040900,VICTOR DAD,,0,2,19.5,1,2018,"offcontract,person_name_payee,new_vendor_large,true_duplicate,whole_dollar"
